"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.162384583E-1,9.756137788E-2,2.787660062E-2,1.132839561E-2,1.020963264E-1
6.262334583E-1,1.062705132E-1,-1.239726663E-2,1.096352935E-2,1.075514443E-1
6.362294583E-1,7.900472738E-2,-1.014550388E-2,2.527399580E-2,8.356705727E-2
6.462254584E-1,4.317986034E-2,2.010214269E-2,5.190981726E-2,7.045016400E-2
6.562204583E-1,5.171314068E-2,-4.288932681E-3,4.986212234E-2,7.196440166E-2
6.662164583E-1,3.477660745E-2,4.480955243E-2,3.276545763E-2,6.550483668E-2
6.762124583E-1,1.661193967E-2,5.021413386E-2,-5.593446493E-3,5.318554712E-2
6.862084583E-1,2.777770959E-2,9.823322296E-4,-4.977326293E-2,5.700827861E-2
6.962033333E-1,4.073901325E-3,1.253409147E-2,-3.129839122E-2,3.396011505E-2
7.061993333E-1,3.634212635E-2,-1.274868429E-2,-9.565469222E-3,3.968346382E-2
7.161953333E-1,5.643125899E-2,-1.437771857E-2,3.102650483E-2,6.598370848E-2
7.261913333E-1,5.836537175E-2,6.010937691E-3,8.232060115E-2,1.010906987E-1
7.361863333E-1,1.369208868E-1,2.686561704E-2,3.718010545E-2,1.444003146E-1
7.461823333E-1,1.295797806E-1,5.340846777E-2,6.960641543E-2,1.564878176E-1
7.561783333E-1,1.018614934E-1,3.937748909E-2,8.280241172E-2,1.370495891E-1
7.661733333E-1,5.834636830E-2,1.112081945E-2,9.182585319E-2,1.093615958E-1
7.761693333E-1,3.956226110E-3,1.894614816E-2,5.256763816E-2,5.601754044E-2
7.861653334E-1,-1.654571995E-2,-2.570436001E-3,3.386356473E-2,3.777709632E-2
7.961613333E-1,-2.666337647E-2,-1.435140610E-2,2.668668310E-2,4.036183292E-2
8.061563333E-1,-3.779662125E-2,3.193749189E-3,2.050325255E-2,4.311807019E-2
8.161523333E-1,-2.549320243E-2,-7.249377966E-3,6.157127218E-3,2.720968700E-2
8.261483333E-1,-2.177897796E-2,-1.984544992E-3,-2.198202252E-2,3.100760575E-2
8.361433333E-1,8.483579010E-3,3.455119729E-2,-1.765215933E-2,3.971592975E-2
8.461393333E-1,6.158777229E-2,4.309164047E-2,-2.431039293E-2,7.899961000E-2
8.561353333E-1,5.401621275E-2,3.455879867E-2,8.612354798E-3,6.470111638E-2
8.661313333E-1,5.640794322E-2,2.960386813E-2,3.316072941E-2,7.181837537E-2
8.761263333E-1,3.008524016E-2,1.904438138E-3,9.245909750E-2,9.724933558E-2
8.861223334E-1,3.666788936E-3,-2.158792019E-2,7.019465446E-2,7.353076332E-2
8.961183333E-1,4.759925902E-3,-7.965661883E-3,7.610618949E-2,7.666981637E-2
9.061143333E-1,3.885913342E-3,3.700702786E-3,3.593289435E-2,3.633136964E-2
9.161093333E-1,6.428136528E-3,1.970979452E-2,-1.897479951E-2,2.810409144E-2
9.261053333E-1,3.827455804E-2,2.793975055E-2,-6.235938549E-2,7.832154501E-2
9.361013334E-1,5.072693467E-2,1.747615814E-2,-6.379078388E-2,8.335407676E-2
9.460963333E-1,8.269512445E-2,9.550842047E-3,-7.819890797E-2,1.142137093E-1
9.560923333E-1,9.595390521E-2,2.960445285E-3,-5.613560001E-2,1.112075616E-1
9.660883333E-1,1.193463492E-1,9.704623818E-3,-7.224878132E-2,1.398485510E-1
9.760843333E-1,1.471684977E-1,1.357723475E-3,-3.570250492E-2,1.514433194E-1
9.860793334E-1,1.296842265E-1,-5.786989331E-3,1.652189255E-2,1.308604630E-1
9.960753333E-1,1.221026536E-1,2.194460034E-3,4.841259758E-2,1.313683877E-1
1.006071333E0,9.233937576E-2,8.993602395E-3,7.802641511E-2,1.212252723E-1
1.016066333E0,7.274221323E-2,1.848948061E-2,6.017370542E-2,9.619857225E-2
1.026062333E0,4.616267122E-2,3.771220207E-2,4.064575930E-2,7.214762746E-2
1.036058333E0,1.938585877E-2,2.641538143E-2,9.548484888E-3,3.412854319E-2
1.046054333E0,-1.473827250E-2,2.199488640E-2,-4.522245722E-3,2.685968001E-2
1.056049333E0,-4.007535428E-2,-7.121323943E-3,-1.422335207E-2,4.311671392E-2
1.066045333E0,-6.639432974E-2,-2.263457179E-2,-7.858082252E-3,7.058526984E-2
1.076041333E0,-6.589512371E-2,-2.535937428E-3,1.878701253E-3,6.597065882E-2
1.086036333E0,-5.189338110E-2,1.172425210E-2,1.534425418E-2,5.536991264E-2
1.096032333E0,-2.856635280E-2,1.983141661E-2,3.986221413E-2,5.289912771E-2
1.106028333E0,-1.045036308E-2,3.107034981E-2,2.831337850E-2,4.331540289E-2
1.116024333E0,-1.630751900E-2,7.870936990E-3,3.122178356E-2,3.609274988E-2
1.126019333E0,-1.817789711E-2,4.412308931E-3,-1.485427578E-2,2.388627058E-2
1.136015333E0,2.111721933E-3,1.186809361E-2,-1.206806839E-2,1.705723571E-2
