"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.102177571E1,-7.300468013E-1,-2.370227337E-2,-1.317097203E-1,7.422112773E-1
1.112173271E1,-7.555174188E-1,-2.171363533E-2,-7.910113335E-3,7.558707707E-1
1.122168971E1,-6.094878857E-1,-3.537565470E-3,-1.417674977E-1,6.257683442E-1
1.132164671E1,-4.202097143E-1,3.658485889E-2,4.331383467E-2,4.240173867E-1
1.142160371E1,-1.315586977E-1,4.896282971E-2,-9.477868795E-2,1.693754685E-1
1.152156071E1,1.457206540E-1,9.342681170E-2,1.260168529E-1,2.141105447E-1
1.162151771E1,4.559011187E-1,7.674762905E-2,-4.863129258E-2,4.648666811E-1
1.172147462E1,6.575324102E-1,6.562505543E-2,1.861332464E-1,6.865137317E-1
1.182143162E1,8.117785238E-1,3.577501953E-2,5.074232016E-3,8.125822861E-1
1.192138862E1,7.923597014E-1,5.415866554E-2,1.897491646E-1,8.165609609E-1
1.202134562E1,7.034183619E-1,3.817471683E-2,-1.761181355E-2,7.046735960E-1
1.212130262E1,4.620813332E-1,7.059694290E-2,1.531479335E-1,4.918916308E-1
1.222125962E1,2.018080601E-1,7.808313310E-2,-6.891177535E-2,2.270953579E-1
1.232121662E1,-1.154284224E-1,8.213583827E-2,8.091084659E-2,1.631458909E-1
1.242117362E1,-3.831218487E-1,4.181870162E-2,-1.129144120E-1,4.015978327E-1
1.252113062E1,-6.291048557E-1,2.387885928E-2,5.379433832E-3,6.295808587E-1
1.262108762E1,-7.379914863E-1,-1.400817454E-2,-1.376832084E-1,7.508557309E-1
1.272104546E1,-7.454776034E-1,-2.702173769E-2,-2.604585567E-2,7.464217427E-1
1.282100246E1,-6.127069606E-1,-9.522775412E-3,-8.752347191E-2,6.189998877E-1
1.292095946E1,-4.129662932E-1,3.783090055E-2,-1.660901149E-2,4.150279456E-1
1.302091746E1,-1.345960338E-1,7.158219874E-2,-2.017230928E-2,1.537758940E-1
1.312087446E1,1.661613870E-1,7.829772592E-2,3.250701298E-2,1.865391281E-1
1.322083146E1,4.537871309E-1,8.275973618E-2,6.494735400E-2,4.658219541E-1
1.332078846E1,6.826964875E-1,5.808331668E-2,6.111743689E-2,6.878833526E-1
1.342074546E1,7.889552332E-1,3.861208856E-2,1.327809028E-1,8.009819108E-1
1.352070246E1,7.913764190E-1,3.052597404E-2,5.883235415E-2,7.941471636E-1
