Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-52,04474181;1,35593700;-0,99353010
-50,73402182;3,96374400;0,81286050
-49,42330183;5,49241600;2,39356700
-48,11258183;6,12170800;3,61293400
-46,80186184;6,03198300;4,24512500
-45,49114185;4,95284900;4,24512500
-44,18042186;2,52510100;3,43226400
-42,86970187;0,18707850;2,07739500
-41,55898187;-2,77993100;0,31601920
-40,24826188;-4,57838700;-1,44520400
-38,93754189;-5,65752100;-2,89040800
-37,62682190;-6,01702900;-3,92910600
-36,31610190;-5,65752100;-4,33561200
-35,00538191;-4,57838700;-3,97427300
-33,69466192;-1,79082600;-2,98074300
-32,38394193;0,45686210;-1,44520400
-31,07322194;3,33445200;0,36118660
-29,76250194;5,04287900;1,98706000
-28,45178195;6,03198300;3,34192900
-27,14106196;6,03198300;4,15479000
-25,83034197;5,22263200;4,33545900
-24,51962198;3,24442300;3,70326900
-23,20890198;0,99642930;2,52906900
-21,89818199;-1,88085600;0,76769310
-20,58746200;-4,21857400;-0,99353010
-19,27674201;-5,65752100;-2,52906900
-17,96602202;-6,10705900;-3,70326900
-16,65530202;-6,01702900;-4,29044500
-15,34458203;-4,93789500;-4,15494300
-14,03386204;-2,33039300;-3,34192900
-12,72314205;0,09735405;-1,89672500
-11,41242206;2,88460900;-0,13565480
-10,10170206;4,59334100;1,58055400
-8,79098207;5,67217000;3,02575800
-7,48026208;6,03198300;3,97427300
-6,16954209;5,49241600;4,38062700
-4,85882210;4,14349800;3,88393800
-3,54810210;1,53599700;2,89025500
-2,23738211;-0,80172120;1,26438200
-0,92666212;-3,58928200;-0,49668880
0,38405787;-5,29770800;-2,16773000
1,69477786;-6,19678400;-3,43226400
3,00549786;-6,10705900;-4,20011000
4,31621785;-5,20767800;-4,29044500
5,62693784;-2,95968500;-3,61293400
6,93765783;-0,71169160;-2,34839900
8,24837782;2,16528800;-0,63219090
9,55909782;4,23352800;1,17420000
10,86981781;5,58244600;2,70958600
12,18053780;5,94195400;3,79360300
13,49125779;5,76220000;4,33545900
14,80197778;4,77309500;4,10962200
16,11269778;2,07556400;3,25159500
17,42341777;-0,26215400;1,71605600
18,73413776;-3,13974400;-0,04531999
20,04485775;-4,84817000;-1,71620800
21,35557774;-5,83727600;-3,16141200
22,66629774;-6,01702900;-4,06460800
23,97701773;-5,38773800;-4,38077900
25,28773772;-3,85906600;-3,83877100
26,59845771;-1,43101300;-2,70973800
27,90917770;1,17618300;-1,08386500
29,21989770;3,78399000;0,72252570
30,53061769;5,40238700;2,25806500
31,84133768;6,12170800;3,52259900
33,15205767;6,12170800;4,24512500
34,46277766;4,95284900;4,24512500
35,77349766;2,61482600;3,52259900
37,08421765;0,45686210;2,16773000
38,39493764;-2,51014700;0,45152130
39,70565763;-4,48835700;-1,30970200
41,01637763;-5,56749200;-2,80007300
42,32709762;-6,01702900;-3,88393800
43,63781761;-5,65752100;-4,33561200
44,94853760;-4,57838700;-4,06460800
46,25925759;-1,88085600;-3,07107800
47,56997759;0,27710810;-1,53553900
48,88069758;3,33445200;0,22568440
