Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,34520307;2,97463900;-0,04531999
-50,03448308;4,68306500;1,67088800
-48,72376309;5,67217000;3,07092500
-47,41304310;6,03198300;4,01944000
-46,10232310;5,49241600;4,38062700
-44,79160311;3,96374400;3,88393800
-43,48088312;1,44596700;2,79992100
-42,17016313;-0,98147520;1,17420000
-40,85944314;-3,85906600;-0,63219090
-39,54872314;-5,29770800;-2,25806500
-38,23800315;-6,19678400;-3,52259900
-36,92728316;-6,10705900;-4,24527700
-35,61656317;-5,11795400;-4,29044500
-34,30584318;-2,77993100;-3,52259900
-32,99512318;-0,62196720;-2,25806500
-31,68440319;2,43507200;-0,49668880
-30,37368320;4,32355700;1,26438200
-29,06296321;5,58244600;2,75475300
-27,75224322;6,03198300;3,83877100
-26,44152322;5,76220000;4,33545900
-25,13080323;4,68306500;4,06460800
-23,82008324;1,89550500;3,16126000
-22,50936325;-0,26215400;1,67088800
-21,19864326;-3,22946900;-0,13565480
-19,88792326;-4,93789500;-1,80639100
-18,57720327;-5,92700000;-3,16141200
-17,26648328;-6,10705900;-4,06460800
-15,95576329;-5,38773800;-4,33561200
-14,64504329;-3,67900600;-3,79360300
-13,33432330;-1,34128800;-2,66457100
-12,02360331;1,35593700;-0,99353010
-10,71288332;3,96374400;0,81286050
-9,40216333;5,49241600;2,39356700
-8,09144333;6,12170800;3,61293400
-6,78072334;6,03198300;4,24512500
-5,47000335;4,95284900;4,24512500
-4,15928336;2,52510100;3,47743200
-2,84856337;0,18707850;2,07739500
-1,53784337;-2,68990100;0,31601920
-0,22712338;-4,57838700;-1,40003700
1,08359661;-5,65752100;-2,89040800
2,39431660;-6,10705900;-3,92910600
3,70503659;-5,65752100;-4,38077900
5,01575659;-4,57838700;-3,97427300
6,32647658;-1,79082600;-2,98074300
7,63719657;0,45686210;-1,44520400
8,94791656;3,33445200;0,36118660
10,25863655;4,95284900;1,98706000
11,56935655;6,03198300;3,34192900
12,88007654;6,12170800;4,15479000
14,19079653;5,22263200;4,33545900
15,50151652;3,24442300;3,70326900
16,81223651;1,08645900;2,52906900
18,12295651;-1,79082600;0,76769310
19,43367650;-4,21857400;-0,99353010
20,74439649;-5,65752100;-2,52906900
22,05511648;-6,10705900;-3,70326900
23,36583647;-6,01702900;-4,29044500
24,67655647;-4,93789500;-4,15494300
25,98727646;-2,24036400;-3,34192900
27,29799645;-0,08239998;-1,89672500
28,60871644;2,88460900;-0,13565480
29,91943643;4,59334100;1,58055400
31,23015643;5,67217000;2,98059000
32,54087642;6,03198300;3,97427300
33,85159641;5,49241600;4,38062700
35,16231640;4,05377300;3,92910600
36,47303639;1,53599700;2,89025500
37,78375639;-0,71169160;1,26438200
39,09447638;-3,67900600;-0,49668880
40,40519637;-5,29770800;-2,12256200
41,71591636;-6,19678400;-3,43226400
43,02663635;-6,10705900;-4,15494300
44,33735635;-5,20767800;-4,29044500
45,64807634;-2,95968500;-3,61293400
46,95879633;-0,80172120;-2,34839900
48,26951632;2,16528800;-0,63219090
49,58023631;4,23352800;1,17420000
