Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,31161585;3,06466900;0,04501480
-50,00089586;4,68306500;1,71605600
-48,69017587;5,85223000;3,11609200
-47,37945588;6,03198300;4,06460800
-46,06873589;5,49241600;4,38062700
-44,75801589;3,87371400;3,83877100
-43,44729590;1,35593700;2,79992100
-42,13657591;-1,16122900;1,08386500
-40,82585592;-3,85906600;-0,63219090
-39,51513593;-5,38773800;-2,25806500
-38,20441593;-6,19678400;-3,52259900
-36,89369594;-6,10705900;-4,24527700
-35,58297595;-5,11795400;-4,24527700
-34,27225596;-2,68990100;-3,52259900
-32,96153597;-0,53193760;-2,21289700
-31,65081597;2,43507200;-0,45152130
-30,34009598;4,41328100;1,30954900
-29,02937599;5,49241600;2,79992100
-27,71865600;6,03198300;3,83877100
-26,40793601;5,67217000;4,33545900
-25,09721601;4,59334100;4,06460800
-23,78649602;1,89550500;3,11609200
-22,47577603;-0,35218360;1,58055400
-21,16505604;-3,22946900;-0,18082220
-19,85433605;-4,93789500;-1,85155800
-18,54361605;-6,01702900;-3,20642700
-17,23289606;-6,01702900;-4,10977500
-15,92217607;-5,38773800;-4,33561200
-14,61145608;-3,49925200;-3,79360300
-13,30073609;-1,34128800;-2,61940400
-11,99001609;1,44596700;-0,90319530
-10,67929610;3,96374400;0,81286050
-9,36857611;5,49241600;2,43873400
-8,05785612;6,12170800;3,61293400
-6,74713613;5,94195400;4,24512500
-5,43641613;4,95284900;4,24512500
-4,12569614;2,34534700;3,43226400
-2,81497615;0,18707850;2,07739500
-1,50425616;-2,77993100;0,27085180
-0,19353617;-4,57838700;-1,44520400
1,11718383;-5,65752100;-2,89040800
2,42790382;-6,01702900;-3,97427300
3,73862381;-5,65752100;-4,38077900
5,04934380;-4,39863300;-3,97427300
6,36006380;-1,70079600;-2,98074300
7,67078379;0,45686210;-1,35486900
8,98150378;3,42417700;0,40635400
10,29222377;5,04287900;2,03222800
11,60294376;6,12170800;3,34192900
12,91366376;6,03198300;4,15479000
14,22438375;5,22263200;4,33545900
15,53510374;3,06466900;3,70326900
16,84582373;0,99642930;2,43873400
18,15654372;-1,97058000;0,72252570
19,46726372;-4,21857400;-0,99353010
20,77798371;-5,65752100;-2,52906900
22,08870370;-6,10705900;-3,70326900
23,39942369;-5,92700000;-4,29044500
24,71014368;-4,84817000;-4,15494300
26,02086368;-2,24036400;-3,29676200
27,33158367;0,09735405;-1,85155800
28,64230366;2,97463900;-0,09048738
29,95302365;4,68306500;1,62572100
31,26374364;5,67217000;3,07092500
32,57446364;6,03198300;3,97427300
33,88518363;5,49241600;4,38062700
35,19590362;4,05377300;3,88393800
36,50662361;1,44596700;2,89025500
37,81734360;-0,89175090;1,26438200
39,12806360;-3,67900600;-0,54185610
40,43878359;-5,29770800;-2,16773000
41,74950358;-6,19678400;-3,43226400
43,06022357;-6,10705900;-4,15494300
44,37094356;-5,20767800;-4,24527700
45,68166356;-2,86996100;-3,61293400
46,99238355;-0,62196720;-2,30323200
48,30310354;2,25531800;-0,54185610
49,61382353;4,23352800;1,17420000
