Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,81372538;2,07556400;-0,67735830
-50,50300539;4,05377300;1,08386500
-49,19228540;5,58244600;2,61940400
-47,88156541;6,03198300;3,74843600
-46,57084541;5,85223000;4,33545900
-45,26012542;4,77309500;4,15479000
-43,94940543;2,16528800;3,25159500
-42,63868544;-0,26215400;1,80639100
-41,32796545;-3,13974400;0,04501480
-40,01724545;-4,75814100;-1,67104100
-38,70652546;-5,74724600;-3,07107800
-37,39580547;-6,10705900;-4,01944000
-36,08508548;-5,47746200;-4,38077900
-34,77436549;-3,94879000;-3,88393800
-33,46364549;-1,43101300;-2,80007300
-32,15292550;0,90639970;-1,17420000
-30,84220551;3,69396000;0,63219090
-29,53148552;5,31266200;2,25806500
-28,22076553;6,21173800;3,52259900
-26,91004553;6,12170800;4,24512500
-25,59932554;5,04287900;4,29029200
-24,28860555;2,79488500;3,52259900
-22,97788556;0,45686210;2,25806500
-21,66716557;-2,42011800;0,49668880
-20,35644557;-4,39863300;-1,21936700
-19,04572558;-5,56749200;-2,75490600
-17,73500559;-6,01702900;-3,83877100
-16,42428560;-5,74724600;-4,33561200
-15,11356561;-4,66811100;-4,06460800
-13,80284561;-1,97058000;-3,16141200
-12,49212562;0,27710810;-1,62587400
-11,18140563;3,15439300;0,18051700
-9,87068564;4,86281900;1,80639100
-8,55996564;5,85223000;3,16126000
-7,24924565;6,03198300;4,06460800
-5,93852566;5,31266200;4,38062700
-4,62780567;3,51420600;3,79360300
-3,31708568;1,17618300;2,66441800
-2,00636568;-1,43101300;0,99353010
-0,69564569;-3,94879000;-0,81286050
0,61507430;-5,56749200;-2,34839900
1,92579429;-6,19678400;-3,61293400
3,23651428;-6,01702900;-4,24527700
4,54723428;-5,02792500;-4,24527700
5,85795427;-2,51014700;-3,43226400
7,16867426;-0,35218360;-2,07739500
8,47939425;2,70485500;-0,31601920
9,79011424;4,41328100;1,39988400
11,10083424;5,49241600;2,89025500
12,41155423;6,12170800;3,92910600
13,72227422;5,58244600;4,33545900
15,03299421;4,41328100;3,97427300
16,34371420;1,80578000;3,02575800
17,65443420;-0,44190800;1,44505100
18,96515419;-3,49925200;-0,31601920
20,27587418;-5,11795400;-1,98706000
21,58659417;-6,10705900;-3,34192900
22,89731416;-6,10705900;-4,15494300
24,20803416;-5,29770800;-4,33561200
25,51875415;-3,22946900;-3,70326900
26,82947414;-0,98147520;-2,52906900
28,14019413;1,80578000;-0,81286050
29,45091412;4,05377300;0,99353010
30,76163412;5,67217000;2,52906900
32,07235411;6,03198300;3,70326900
33,38307410;5,85223000;4,33545900
34,69379409;4,77309500;4,19995700
36,00451408;2,25531800;3,34192900
37,31523408;0,00762963;1,89672500
38,62595407;-2,95968500;0,18051700
39,93667406;-4,66811100;-1,58070600
41,24739405;-5,65752100;-2,98074300
42,55811404;-6,10705900;-3,97427300
43,86883404;-5,56749200;-4,33561200
45,17955403;-4,21857400;-3,92910600
46,49027402;-1,70079600;-2,89040800
47,80099401;0,81667530;-1,21936700
49,11171400;3,60393100;0,54185610
