Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,46246031;2,88460900;-0,18082220
-50,15174032;4,50331100;1,53538600
-48,84102033;5,58244600;2,98059000
-47,53030033;6,03198300;3,97427300
-46,21958034;5,49241600;4,38062700
-44,90886035;4,23352800;3,97427300
-43,59814036;1,62572100;2,93542300
-42,28742037;-0,71169160;1,35471700
-40,97670037;-3,58928200;-0,45152130
-39,66598038;-5,20767800;-2,07739500
-38,35526039;-6,19678400;-3,38709700
-37,04454040;-6,10705900;-4,15494300
-35,73382040;-5,20767800;-4,33561200
-34,42310041;-3,04971500;-3,61293400
-33,11238042;-0,89175090;-2,39356700
-31,80166043;2,07556400;-0,67735830
-30,49094044;4,23352800;1,08386500
-29,18022044;5,58244600;2,61940400
-27,86950045;6,03198300;3,74843600
-26,55878046;5,85223000;4,33545900
-25,24806047;4,77309500;4,15479000
-23,93734048;2,07556400;3,25159500
-22,62662048;-0,26215400;1,80639100
-21,31590049;-3,13974400;-0,00015259
-20,00518050;-4,75814100;-1,67104100
-18,69446051;-5,83727600;-3,07107800
-17,38374052;-6,01702900;-4,01944000
-16,07302052;-5,47746200;-4,38077900
-14,76230053;-3,94879000;-3,88393800
-13,45158054;-1,52104200;-2,80007300
-12,14086055;0,99642930;-1,17420000
-10,83014056;3,69396000;0,63219090
-9,51942056;5,31266200;2,25806500
-8,20870057;6,12170800;3,47743200
-6,89798058;6,12170800;4,24512500
-5,58726059;5,04287900;4,29029200
-4,27654060;2,61482600;3,52259900
-2,96582060;0,54689170;2,25806500
-1,65510061;-2,42011800;0,49668880
-0,34438062;-4,39863300;-1,26453400
0,96633937;-5,65752100;-2,75490600
2,27705936;-6,01702900;-3,83877100
3,58777936;-5,74724600;-4,33561200
4,89849935;-4,66811100;-4,06460800
6,20921934;-1,97058000;-3,11624500
7,51993933;0,27710810;-1,58070600
8,83065932;3,24442300;0,18051700
10,14137932;4,77309500;1,85155800
11,45209931;5,85223000;3,20642700
12,76281930;6,03198300;4,06460800
14,07353929;5,31266200;4,38062700
15,38425928;3,51420600;3,79360300
16,69497928;1,17618300;2,70958600
18,00569927;-1,43101300;0,94836270
19,31641926;-3,94879000;-0,81286050
20,62713925;-5,56749200;-2,34839900
21,93785924;-6,10705900;-3,61293400
23,24857924;-6,01702900;-4,24527700
24,55929923;-4,93789500;-4,20011000
25,87001922;-2,51014700;-3,43226400
27,18073921;-0,26215400;-2,07739500
28,49145920;2,70485500;-0,27100440
29,80217920;4,41328100;1,44505100
31,11289919;5,49241600;2,89025500
32,42361918;6,03198300;3,92910600
33,73433917;5,58244600;4,38062700
35,04505916;4,41328100;3,97427300
36,35577916;1,71575100;2,98059000
37,66649915;-0,53193760;1,44505100
38,97721914;-3,49925200;-0,36118660
40,28793913;-5,11795400;-1,98706000
41,59865913;-6,10705900;-3,34192900
42,90937912;-6,19678400;-4,15494300
44,22009911;-5,29770800;-4,33561200
45,53081910;-3,22946900;-3,70326900
46,84153909;-1,07150500;-2,48390200
48,15225909;1,80578000;-0,81286050
49,46297908;4,05377300;0,99353010
