Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,44662037;2,88460900;-0,18082220
-50,13590038;4,59334100;1,53538600
-48,82518039;5,58244600;2,98059000
-47,51446040;6,03198300;3,97427300
-46,20374041;5,49241600;4,38062700
-44,89302041;4,14349800;3,92910600
-43,58230042;1,53599700;2,93542300
-42,27158043;-0,62196720;1,30954900
-40,96086044;-3,58928200;-0,45152130
-39,65014045;-5,20767800;-2,07739500
-38,33942045;-6,10705900;-3,38709700
-37,02870046;-6,10705900;-4,15494300
-35,71798047;-5,20767800;-4,29044500
-34,40726048;-2,95968500;-3,61293400
-33,09654049;-0,89175090;-2,39356700
-31,78582049;2,07556400;-0,63219090
-30,47510050;4,23352800;1,08386500
-29,16438051;5,58244600;2,61940400
-27,85366052;6,03198300;3,79360300
-26,54294053;5,85223000;4,33545900
-25,23222053;4,77309500;4,15479000
-23,92150054;2,07556400;3,25159500
-22,61078055;-0,26215400;1,76122300
-21,30006056;-3,13974400;-0,00015259
-19,98934057;-4,75814100;-1,67104100
-18,67862057;-5,83727600;-3,07107800
-17,36790058;-6,10705900;-4,06460800
-16,05718059;-5,47746200;-4,33561200
-14,74646060;-3,94879000;-3,88393800
-13,43574061;-1,43101300;-2,80007300
-12,12502061;1,08645900;-1,08386500
-10,81430062;3,78399000;0,63219090
-9,50358063;5,31266200;2,25806500
-8,19286064;6,21173800;3,52259900
-6,88214065;6,03198300;4,24512500
-5,57142065;5,04287900;4,24512500
-4,26070066;2,61482600;3,52259900
-2,94998067;0,45686210;2,21289700
-1,63926068;-2,51014700;0,45152130
-0,32854069;-4,39863300;-1,26453400
0,98217931;-5,65752100;-2,80007300
2,29289930;-6,01702900;-3,83877100
3,60361929;-5,74724600;-4,33561200
4,91433928;-4,66811100;-4,06460800
6,22505927;-1,97058000;-3,07107800
7,53577927;0,36683250;-1,58070600
8,84649926;3,24442300;0,18051700
10,15721925;4,86281900;1,85155800
11,46793924;5,85223000;3,25159500
12,77865923;6,12170800;4,10962200
14,08937923;5,31266200;4,38062700
15,40009922;3,42417700;3,79360300
16,71081921;1,17618300;2,61940400
18,02153920;-1,52104200;0,94836270
19,33225919;-4,03881900;-0,81286050
20,64297919;-5,65752100;-2,43873400
21,95369918;-6,10705900;-3,61293400
23,26441917;-6,01702900;-4,24527700
24,57513916;-4,93789500;-4,20011000
25,88585916;-2,51014700;-3,43226400
27,19657915;-0,26215400;-2,03222800
28,50729914;2,70485500;-0,27100440
29,81801913;4,41328100;1,44505100
31,12873912;5,49241600;2,89025500
32,43945912;6,03198300;3,92910600
33,75017911;5,58244600;4,38062700
35,06089910;4,41328100;4,01944000
36,37161909;1,71575100;2,98059000
37,68233908;-0,62196720;1,44505100
38,99305908;-3,49925200;-0,36118660
40,30377907;-5,11795400;-2,03222800
41,61449906;-6,10705900;-3,34192900
42,92521905;-6,10705900;-4,15494300
44,23593904;-5,29770800;-4,33561200
45,54665904;-3,13974400;-3,70326900
46,85737903;-0,98147520;-2,48390200
48,16809902;1,89550500;-0,72252570
49,47881901;4,14349800;0,99353010
