Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,56425759;2,61482600;-0,31601920
-50,25353760;4,41328100;1,44505100
-48,94281761;5,49241600;2,89025500
-47,63209762;6,03198300;3,88393800
-46,32137762;5,58244600;4,38062700
-45,01065763;4,41328100;4,01944000
-43,69993764;1,71575100;3,02575800
-42,38921765;-0,44190800;1,44505100
-41,07849766;-3,49925200;-0,31601920
-39,76777766;-5,11795400;-1,98706000
-38,45705767;-6,10705900;-3,29676200
-37,14633768;-6,10705900;-4,15494300
-35,83561769;-5,29770800;-4,33561200
-34,52489770;-3,22946900;-3,70326900
-33,21417770;-1,07150500;-2,52906900
-31,90345771;1,71575100;-0,81286050
-30,59273772;4,05377300;0,99353010
-29,28201773;5,58244600;2,52906900
-27,97129774;6,03198300;3,70326900
-26,66057774;5,85223000;4,33545900
-25,34985775;4,86281900;4,19995700
-24,03913776;2,25531800;3,34192900
-22,72841777;0,00762963;1,89672500
-21,41769778;-2,95968500;0,18051700
-20,10697778;-4,66811100;-1,53553900
-18,79625779;-5,65752100;-2,98074300
-17,48553780;-6,01702900;-3,97427300
-16,17481781;-5,56749200;-4,33561200
-14,86409782;-4,21857400;-3,92910600
-13,55337782;-1,70079600;-2,89040800
-12,24265783;0,72664570;-1,26453400
-10,93193784;3,60393100;0,49668880
-9,62121785;5,13260300;2,16773000
-8,31049785;6,21173800;3,43226400
-6,99977786;6,12170800;4,19995700
-5,68905787;5,13260300;4,33545900
-4,37833788;2,88460900;3,61293400
-3,06761789;0,72664570;2,39356700
-1,75689789;-2,24036400;0,63219090
-0,44617790;-4,30860300;-1,12903200
0,86454209;-5,65752100;-2,66457100
2,17526208;-6,10705900;-3,79360300
3,48598207;-5,83727600;-4,33561200
4,79670207;-4,84817000;-4,10977500
6,10742206;-2,06061000;-3,20642700
7,41814205;0,18707850;-1,71620800
8,72886204;3,06466900;0,04501480
10,03958203;4,77309500;1,71605600
11,35030203;5,85223000;3,16126000
12,66102202;6,03198300;4,06460800
13,97174201;5,49241600;4,42579400
15,28246200;3,78399000;3,83877100
16,59318199;1,35593700;2,79992100
17,90390199;-1,16122900;1,08386500
19,21462198;-3,85906600;-0,67735830
20,52534197;-5,38773800;-2,25806500
21,83606196;-6,19678400;-3,52259900
23,14678195;-6,10705900;-4,24527700
24,45750195;-5,11795400;-4,24527700
25,76822194;-2,68990100;-3,52259900
27,07894193;-0,53193760;-2,16773000
28,38966192;2,43507200;-0,45152130
29,70038191;4,41328100;1,30954900
31,01110191;5,49241600;2,79992100
32,32182190;5,94195400;3,88393800
33,63254189;5,67217000;4,33545900
34,94326188;4,59334100;4,06460800
36,25398187;1,80578000;3,11609200
37,56470187;-0,44190800;1,53538600
38,87542186;-3,31949800;-0,18082220
40,18614185;-4,93789500;-1,89672500
41,49686184;-6,01702900;-3,25159500
42,80758183;-6,10705900;-4,10977500
44,11830183;-5,38773800;-4,33561200
45,42902182;-3,49925200;-3,74843600
46,73974181;-1,25125900;-2,61940400
48,05046180;1,53599700;-0,90319530
49,36118179;3,96374400;0,85802790
