Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-52,20257118;0,81667530;-1,21936700
-50,89185119;3,69396000;0,54185610
-49,58113120;5,13260300;2,16773000
-48,27041121;6,21173800;3,47743200
-46,95969122;6,12170800;4,24512500
-45,64897122;5,13260300;4,33545900
-44,33825123;2,88460900;3,61293400
-43,02753124;0,72664570;2,30323200
-41,71681125;-2,33039300;0,58702360
-40,40609126;-4,30860300;-1,17420000
-39,09537126;-5,65752100;-2,66457100
-37,78465127;-6,10705900;-3,79360300
-36,47393128;-5,83727600;-4,33561200
-35,16321129;-4,75814100;-4,06460800
-33,85249129;-2,06061000;-3,16141200
-32,54177130;0,27710810;-1,71620800
-31,23105131;3,15439300;0,09018219
-29,92033132;4,77309500;1,76122300
-28,60961133;5,85223000;3,16126000
-27,29889133;6,03198300;4,06460800
-25,98817134;5,40238700;4,38062700
-24,67745135;3,69396000;3,83877100
-23,36673136;1,35593700;2,75475300
-22,05601137;-1,34128800;1,03869700
-20,74529137;-3,85906600;-0,72252570
-19,43457138;-5,47746200;-2,30323200
-18,12385139;-6,19678400;-3,56776600
-16,81313140;-6,10705900;-4,24527700
-15,50241141;-5,02792500;-4,24527700
-14,19169141;-2,68990100;-3,52259900
-12,88097142;-0,44190800;-2,16773000
-11,57025143;2,61482600;-0,36118660
-10,25953144;4,41328100;1,35471700
-8,94881145;5,49241600;2,84508800
-7,63809145;6,03198300;3,88393800
-6,32737146;5,67217000;4,38062700
-5,01665147;4,50331100;4,01944000
-3,70593148;1,80578000;3,07092500
-2,39521149;-0,35218360;1,53538600
-1,08449149;-3,40922300;-0,27100440
0,22622850;-5,02792500;-1,89672500
1,53694849;-6,01702900;-3,25159500
2,84766848;-6,10705900;-4,10977500
4,15838847;-5,29770800;-4,33561200
5,46910847;-3,40922300;-3,70326900
6,77982846;-1,16122900;-2,57423600
8,09054845;1,62572100;-0,85802790
9,40126844;3,96374400;0,90319530
10,71198843;5,58244600;2,48390200
12,02270843;6,12170800;3,65810100
13,33342842;5,94195400;4,24512500
14,64414841;4,86281900;4,19995700
15,95486840;2,34534700;3,38709700
17,26558839;0,09735405;1,98706000
18,57630839;-2,86996100;0,22568440
19,88702838;-4,57838700;-1,53553900
21,19774837;-5,65752100;-2,98074300
22,50846836;-6,01702900;-3,92910600
23,81918835;-5,65752100;-4,33561200
25,12990835;-4,39863300;-3,97427300
26,44062834;-1,70079600;-2,93557500
27,75134833;0,54689170;-1,35486900
29,06206832;3,51420600;0,45152130
30,37278831;5,13260300;2,07739500
31,68350831;6,12170800;3,43226400
32,99422830;6,03198300;4,19995700
34,30494829;5,13260300;4,33545900
35,61566828;2,97463900;3,65810100
36,92638827;0,81667530;2,43873400
38,23710827;-2,06061000;0,72252570
39,54782826;-4,21857400;-1,08386500
40,85854825;-5,65752100;-2,61940400
42,16926824;-6,10705900;-3,74843600
43,47998824;-5,83727600;-4,29044500
44,79070823;-4,84817000;-4,10977500
46,10142822;-2,15063900;-3,25159500
47,41214821;0,09735405;-1,80639100
48,72286820;2,97463900;-0,00015259
