Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-52,31925100;0,54689170;-1,35486900
-51,00853101;3,51420600;0,45152130
-49,69781102;5,13260300;2,07739500
-48,38709102;6,12170800;3,38709700
-47,07637103;6,12170800;4,19995700
-45,76565104;5,13260300;4,33545900
-44,45493105;2,97463900;3,65810100
-43,14421106;0,81667530;2,43873400
-41,83349106;-2,06061000;0,72252570
-40,52277107;-4,30860300;-1,08386500
-39,21205108;-5,65752100;-2,61940400
-37,90133109;-6,10705900;-3,74843600
-36,59061110;-5,92700000;-4,29044500
-35,27989110;-4,84817000;-4,10977500
-33,96917111;-2,24036400;-3,25159500
-32,65845112;0,09735405;-1,80639100
-31,34773113;2,97463900;-0,00015259
-30,03701114;4,68306500;1,67088800
-28,72629114;5,67217000;3,07092500
-27,41557115;6,03198300;4,01944000
-26,10485116;5,40238700;4,38062700
-24,79413117;3,96374400;3,88393800
-23,48341118;1,53599700;2,79992100
-22,17269118;-0,98147520;1,17420000
-20,86197119;-3,85906600;-0,63219090
-19,55125120;-5,38773800;-2,25806500
-18,24053121;-6,19678400;-3,47743200
-16,92981122;-6,10705900;-4,24527700
-15,61909122;-5,11795400;-4,24527700
-14,30837123;-2,77993100;-3,52259900
-12,99765124;-0,62196720;-2,25806500
-11,68693125;2,34534700;-0,49668880
-10,37621126;4,32355700;1,26438200
-9,06549126;5,49241600;2,75475300
-7,75477127;6,03198300;3,83877100
-6,44405128;5,76220000;4,33545900
-5,13333129;4,68306500;4,06460800
-3,82261130;1,89550500;3,16126000
-2,51189130;-0,26215400;1,67088800
-1,20117131;-3,22946900;-0,13565480
0,10954868;-4,93789500;-1,80639100
1,42026867;-5,92700000;-3,16141200
2,73098866;-6,10705900;-4,06460800
4,04170866;-5,38773800;-4,33561200
5,35242865;-3,67900600;-3,79360300
6,66314864;-1,34128800;-2,61940400
7,97386863;1,35593700;-0,99353010
9,28458862;3,96374400;0,81286050
10,59530862;5,49241600;2,39356700
11,90602861;6,12170800;3,61293400
13,21674860;6,03198300;4,24512500
14,52746859;4,95284900;4,24512500
15,83818858;2,52510100;3,47743200
17,14890858;0,27710810;2,07739500
18,45962857;-2,77993100;0,31601920
19,77034856;-4,57838700;-1,40003700
21,08106855;-5,65752100;-2,89040800
22,39178855;-6,10705900;-3,88393800
23,70250854;-5,65752100;-4,33561200
25,01322853;-4,48835700;-3,97427300
26,32394852;-1,79082600;-2,98074300
27,63466851;0,45686210;-1,44520400
28,94538851;3,33445200;0,36118660
30,25610850;4,95284900;1,98706000
31,56682849;6,03198300;3,34192900
32,87754848;6,12170800;4,15479000
34,18826847;5,22263200;4,33545900
35,49898847;3,24442300;3,70326900
36,80970846;0,99642930;2,52906900
38,12042845;-1,79082600;0,81286050
39,43114844;-4,21857400;-0,99353010
40,74186843;-5,65752100;-2,52906900
42,05258843;-6,10705900;-3,70326900
43,36330842;-6,01702900;-4,29044500
44,67402841;-4,93789500;-4,15494300
45,98474840;-2,33039300;-3,34192900
47,29546839;0,00762963;-1,89672500
48,60618839;2,88460900;-0,13565480
49,91690838;4,59334100;1,58055400
