Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-52,16366053;1,08645900;-1,12903200
-50,85294053;3,78399000;0,63219090
-49,54222054;5,40238700;2,25806500
-48,23150055;6,21173800;3,52259900
-46,92078056;6,03198300;4,24512500
-45,61006057;5,04287900;4,24512500
-44,29934057;2,61482600;3,52259900
-42,98862058;0,45686210;2,21289700
-41,67790059;-2,51014700;0,45152130
-40,36718060;-4,48835700;-1,26453400
-39,05646061;-5,65752100;-2,80007300
-37,74574061;-6,01702900;-3,88393800
-36,43502062;-5,74724600;-4,33561200
-35,12430063;-4,66811100;-4,06460800
-33,81358064;-1,88085600;-3,11624500
-32,50286065;0,36683250;-1,58070600
-31,19214065;3,24442300;0,22568440
-29,88142066;4,86281900;1,85155800
-28,57070067;5,94195400;3,20642700
-27,25998068;6,12170800;4,06460800
-25,94926069;5,31266200;4,38062700
-24,63854069;3,51420600;3,79360300
-23,32782070;1,17618300;2,61940400
-22,01710071;-1,52104200;0,94836270
-20,70638072;-4,03881900;-0,85802790
-19,39566073;-5,56749200;-2,43873400
-18,08494073;-6,10705900;-3,61293400
-16,77422074;-6,01702900;-4,24527700
-15,46350075;-4,93789500;-4,24527700
-14,15278076;-2,42011800;-3,43226400
-12,84206077;-0,26215400;-2,03222800
-11,53134077;2,70485500;-0,27100440
-10,22062078;4,50331100;1,44505100
-8,90990079;5,49241600;2,89025500
-7,59918080;5,94195400;3,92910600
-6,28846081;5,58244600;4,38062700
-4,97774081;4,41328100;3,97427300
-3,66702082;1,71575100;2,98059000
-2,35630083;-0,53193760;1,44505100
-1,04558084;-3,49925200;-0,36118660
0,26513916;-5,11795400;-1,98706000
1,57585915;-6,10705900;-3,34192900
2,88657914;-6,10705900;-4,15494300
4,19729913;-5,29770800;-4,33561200
5,50801912;-3,13974400;-3,70326900
6,81873912;-0,98147520;-2,43873400
8,12945911;1,89550500;-0,72252570
9,44017910;4,14349800;0,99353010
10,75089909;5,58244600;2,57423600
12,06161908;6,03198300;3,70326900
13,37233908;5,85223000;4,29029200
14,68305907;4,77309500;4,15479000
15,99377906;2,16528800;3,34192900
17,30449905;-0,17212440;1,89672500
18,61521904;-2,95968500;0,09018219
19,92593904;-4,66811100;-1,58070600
21,23665903;-5,74724600;-3,02591000
22,54737902;-6,01702900;-3,97427300
23,85809901;-5,47746200;-4,38077900
25,16881900;-4,21857400;-3,88393800
26,47953900;-1,61107200;-2,84524100
27,79025899;0,81667530;-1,21936700
29,10097898;3,69396000;0,54185610
30,41169897;5,22263200;2,16773000
31,72241896;6,12170800;3,47743200
33,03313896;6,12170800;4,19995700
34,34385895;5,04287900;4,29029200
35,65457894;2,79488500;3,61293400
36,96529893;0,63661610;2,34839900
38,27601892;-2,42011800;0,58702360
39,58673892;-4,39863300;-1,17420000
40,89745891;-5,65752100;-2,66457100
42,20817890;-6,10705900;-3,79360300
43,51889889;-5,83727600;-4,33561200
44,82961888;-4,75814100;-4,06460800
46,14033888;-2,06061000;-3,16141200
47,45105887;0,27710810;-1,71620800
48,76177886;3,15439300;0,09018219
