Frequenz;Kanal A;Kanal B
(ms);(mV);(mV)

-50,09374395;9,27762600;72,35329000
-50,05278395;0,22888880;74,15387000
-50,01182395;-4,30311000;70,55879000
-49,97086395;-8,83510900;74,15387000
-49,92990395;-8,83510900;68,75820000
-49,88894395;-17,88385000;65,16312000
-49,84798395;-22,41584000;65,16312000
-49,80702395;-22,41584000;61,56804000
-49,76606395;-26,93258000;61,56804000
-49,72510395;-35,99658000;59,76745000
-49,68414395;-35,99658000;59,76745000
-49,64318395;-45,04532000;57,96685000
-49,60222395;-45,04532000;56,17237000
-49,56126395;-54,09406000;57,96685000
-49,52030395;-54,09406000;54,37177000
-49,47934395;-54,09406000;48,97610000
-49,43838395;-63,15805000;52,57729000
-49,39742395;-63,15805000;50,77670000
-49,35646395;-72,20679000;50,77670000
-49,31550395;-72,20679000;47,18161000
-49,27454396;-76,73878000;43,58654000
-49,23358396;-81,25553000;43,58654000
-49,19262396;-81,25553000;43,58654000
-49,15166396;-90,31953000;41,78594000
-49,11070396;-94,83626000;39,98535000
-49,06974396;-94,83626000;38,19086000
-49,02878396;-99,36826000;36,39027000
-48,98782396;-99,36826000;30,99460000
-48,94686396;-108,41700000;36,39027000
-48,90590396;-108,41700000;30,99460000
-48,86494396;-112,94900000;27,39952000
-48,82398396;-117,48100000;29,20011000
-48,78302396;-117,48100000;25,59892000
-48,74206396;-126,52970000;23,80444000
-48,70110396;-126,52970000;23,80444000
-48,66014396;-131,04650000;22,00385000
-48,61918396;-131,04650000;16,60817000
-48,57822396;-135,57850000;16,60817000
-48,53726396;-144,62720000;18,40877000
-48,49630396;-144,62720000;14,81368000
-48,45534396;-144,62720000;16,60817000
-48,41438396;-149,15920000;9,41801200
-48,37342396;-144,62720000;5,82293100
-48,33246396;-153,69120000;9,41801200
-48,29150396;-162,73990000;7,61742000
-48,25054396;-158,20790000;5,82293100
-48,20958396;-167,27190000;2,22785100
-48,16862396;-167,27190000;2,22785100
-48,12766396;-171,78870000;2,22785100
-48,08670396;-171,78870000;0,43336280
-48,04574396;-171,78870000;0,43336280
-48,00478396;-171,78870000;-4,96230900
-47,96382396;-171,78870000;-8,55739000
-47,92286396;-180,85270000;-10,35798000
-47,88190396;-185,36940000;-6,76290100
-47,84094396;-185,36940000;-12,15247000
-47,79998396;-189,90140000;-12,15247000
-47,75902396;-189,90140000;-15,75365000
-47,71806396;-189,90140000;-15,75365000
-47,67710396;-194,43340000;-19,34873000
-47,63614397;-198,95010000;-19,34873000
-47,59518397;-203,48210000;-19,34873000
-47,55422397;-203,48210000;-24,74441000
-47,51326397;-208,01410000;-24,74441000
-47,47230397;-208,01410000;-22,94382000
-47,43134397;-208,01410000;-26,53890000
-47,39038397;-208,01410000;-30,13398000
-47,34942397;-212,53090000;-28,33949000
-47,30846397;-217,06290000;-30,13398000
-47,26750397;-217,06290000;-33,73516000
-47,22654397;-217,06290000;-35,52965000
-47,18558397;-217,06290000;-37,33024000
-47,14462397;-221,59490000;-40,92532000
-47,10366397;-226,11160000;-39,13083000
-47,06270397;-226,11160000;-40,92532000
-47,02174397;-226,11160000;-40,92532000
-46,98078397;-226,11160000;-46,32100000
-46,93982397;-235,17560000;-48,12158000
-46,89886397;-235,17560000;-48,12158000
-46,85790397;-235,17560000;-49,91607000
-46,81694397;-239,69240000;-53,51115000
-46,77598397;-244,22430000;-51,71666000
-46,73502397;-239,69240000;-55,31175000
-46,69406397;-244,22430000;-57,11234000
-46,65310397;-244,22430000;-58,90683000
-46,61214397;-244,22430000;-60,70742000
-46,57118397;-248,75630000;-58,90683000
-46,53022397;-248,75630000;-66,10309000
-46,48926397;-253,27310000;-62,50190000
-46,44830397;-248,75630000;-60,70742000
-46,40734397;-253,27310000;-66,10309000
-46,36638397;-253,27310000;-67,89758000
-46,32542397;-253,27310000;-69,69817000
-46,28446397;-257,80510000;-75,09385000
-46,24350397;-262,33710000;-75,09385000
-46,20254397;-275,90260000;-66,10309000
-46,16158397;-262,33710000;-76,88834000
-46,12062397;-262,33710000;-76,88834000
-46,07966397;-262,33710000;-76,88834000
-46,03870397;-262,33710000;-82,28400000
-45,99774398;-262,33710000;-82,28400000
-45,95678398;-266,85380000;-82,28400000
-45,91582398;-266,85380000;-84,08459000
-45,87486398;-271,38580000;-84,08459000
-45,83390398;-271,38580000;-85,87908000
-45,79294398;-271,38580000;-85,87908000
-45,75198398;-275,90260000;-87,67968000
-45,71102398;-271,38580000;-91,27476000
-45,67006398;-275,90260000;-91,27476000
-45,62910398;-275,90260000;-93,07535000
-45,58814398;-280,43460000;-93,07535000
-45,54718398;-280,43460000;-91,27476000
-45,50622398;-280,43460000;-93,07535000
-45,46526398;-280,43460000;-96,67043000
-45,42430398;-280,43460000;-96,67043000
-45,38334398;-280,43460000;-98,47102000
-45,34238398;-284,96660000;-98,47102000
-45,30142398;-289,48330000;-98,47102000
-45,26046398;-289,48330000;-98,47102000
-45,21950398;-284,96660000;-103,86060000
-45,17854398;-289,48330000;-103,86060000
-45,13758398;-289,48330000;-105,66120000
-45,09662398;-289,48330000;-107,46180000
-45,05566398;-289,48330000;-105,66120000
-45,01470398;-298,54730000;-105,66120000
-44,97374398;-294,01530000;-109,25630000
-44,93278398;-294,01530000;-107,46180000
-44,89182398;-294,01530000;-112,85740000
-44,85086398;-294,01530000;-112,85740000
-44,80990398;-298,54730000;-112,85740000
-44,76894398;-298,54730000;-114,65190000
-44,72798398;-298,54730000;-112,85740000
-44,68702398;-298,54730000;-112,85740000
-44,64606398;-298,54730000;-114,65190000
-44,60510398;-298,54730000;-116,45250000
-44,56414398;-298,54730000;-118,24700000
-44,52318398;-298,54730000;-114,65190000
-44,48222398;-298,54730000;-121,84820000
-44,44126398;-298,54730000;-120,04760000
-44,40030398;-303,06400000;-120,04760000
-44,35934398;-298,54730000;-120,04760000
-44,31838399;-303,06400000;-120,04760000
-44,27742399;-307,59600000;-121,84820000
-44,23646399;-303,06400000;-121,84820000
-44,19550399;-307,59600000;-123,64270000
-44,15454399;-307,59600000;-121,84820000
-44,11358399;-307,59600000;-123,64270000
-44,07262399;-307,59600000;-123,64270000
