t / s	v / rad/s	U_B1 / V
25,5	0,8	2,27
25,6	0,5	2,09
25,7	0,1	1,94
25,8	-0,2	1,85
25,9	-0,6	1,81
26,0	-0,8	1,85
26,1	-1,0	1,95
26,2	-1,1	2,09
26,3	-0,9	2,28
26,4	-0,7	2,47
26,5	-0,3	2,64
26,6	0,0	2,79
26,7	0,4	2,87
26,8	0,7	2,88
26,9	0,9	2,83
27,0	1,1	2,71
27,1	1,1	2,55
27,2	0,8	2,35
27,3	0,6	2,16
27,4	0,3	2,00
27,5	0,0	1,88
27,6	-0,5	1,82
27,7	-0,8	1,83
27,8	-1,0	1,90
27,9	-1,0	2,02
28,0	-1,0	2,19
28,1	-0,9	2,38
28,2	-0,5	2,57
28,3	-0,1	2,73
28,4	0,2	2,84
28,5	0,6	2,89
28,6	0,9	2,87
28,7	1,1	2,77
28,8	1,0	2,63
28,9	0,9	2,44
29,0	0,8	2,25
29,1	0,4	2,07
29,2	0,0	1,93
29,3	-0,3	1,84
29,4	-0,6	1,81
29,5	-0,9	1,86
29,6	-1,0	1,97
29,7	-1,1	2,12
29,8	-0,9	2,30
29,9	-0,6	2,50
30,0	-0,3	2,67
30,1	0,0	2,80
30,2	0,5	2,87
30,3	0,8	2,88
30,4	0,9	2,82
30,5	1,0	2,69
30,6	1,1	2,52
30,7	0,9	2,33
30,8	0,6	2,14
30,9	0,2	1,98
31,0	-0,1	1,87
31,1	-0,5	1,82
31,2	-0,8	1,83
31,3	-1,0	1,92
31,4	-1,1	2,05
31,5	-1,0	2,23
31,6	-0,8	2,42
31,7	-0,5	2,61
31,8	-0,1	2,75
31,9	0,3	2,85
32,0	0,6	2,89
32,1	0,9	2,85
32,2	1,0	2,75
32,3	1,1	2,60
32,4	1,0	2,41
32,5	0,6	2,21
32,6	0,4	2,04
32,7	0,0	1,91
32,8	-0,4	1,83
32,9	-0,7	1,82
33,0	-1,0	1,88
33,1	-1,1	1,99
33,2	-1,0	2,16
33,3	-0,9	2,34
33,4	-0,6	2,54
33,5	-0,3	2,70
33,6	0,1	2,82
33,7	0,5	2,88
33,8	0,7	2,88
33,9	1,0	2,80
34,0	1,1	2,66
34,1	1,0	2,48
34,2	0,8	2,29
34,3	0,5	2,10
34,4	0,1	1,95
34,5	-0,2	1,86
34,6	-0,6	1,82
34,7	-0,9	1,85
34,8	-1,0	1,93
34,9	-1,0	2,08
35,0	-1,0	2,25
35,1	-0,8	2,46
35,2	-0,4	2,63
35,3	0,0	2,78
35,4	0,3	2,87
35,5	0,6	2,88
35,6	1,0	2,84
35,7	1,1	2,72
35,8	1,0	2,56
35,9	0,9	2,37
36,0	0,7	2,18
36,1	0,3	2,01
36,2	0,0	1,89
36,3	-0,4	1,82
36,4	-0,8	1,82
36,5	-0,9	1,89
36,6	-1,0	2,02
36,7	-1,0	2,18
36,8	-0,9	2,37
36,9	-0,5	2,56
37,0	-0,2	2,72
37,1	0,2	2,84
37,2	0,5	2,89
37,3	0,8	2,87
37,4	1,0	2,78
37,5	1,0	2,63
37,6	0,9	2,44
37,7	0,8	2,24
37,8	0,5	2,07
37,9	0,1	1,93
38,0	-0,3	1,84
38,1	-0,7	1,82
38,2	-0,9	1,86
38,3	-1,0	1,96
38,4	-1,0	2,12
38,5	-0,9	2,31
38,6	-0,7	2,51
38,7	-0,4	2,68
38,8	0,1	2,81
38,9	0,4	2,88
39,0	0,7	2,88
39,1	0,9	2,82
39,2	1,0	2,68
39,3	1,0	2,51
39,4	0,9	2,32
39,5	0,5	2,13
39,6	0,3	1,97
39,7	-0,1	1,86
39,8	-0,5	1,82
39,9	-0,8	1,83
40,0	-1,0	1,92
40,1	-1,0	2,05
40,2	-1,0	2,23
40,3	-0,8	2,42
40,4	-0,4	2,61
40,5	-0,1	2,76
40,6	0,3	2,86
40,7	0,6	2,89
40,8	0,9	2,85
40,9	1,0	2,74
41,0	1,0	2,59
41,1	0,9	2,40
41,2	0,7	2,20
41,3	0,4	2,03
41,4	0,0	1,90
41,5	-0,4	1,83
41,6	-0,7	1,82
41,7	-0,9	1,88
41,8	-1,1	2,00
41,9	-1,0	2,16
42,0	-0,9	2,35
42,1	-0,6	2,54
42,2	-0,2	2,71
42,3	0,1	2,83
42,4	0,5	2,88
42,5	0,8	2,87
42,6	0,9	2,79
42,7	1,0	2,64
42,8	1,0	2,46
42,9	0,7	2,27
43,0	0,4	2,08
43,1	0,2	1,94
43,2	-0,2	1,85
43,3	-0,6	1,82
43,4	-0,8	1,85
43,5	-1,0	1,96
43,6	-1,0	2,11
43,7	-0,9	2,29
43,8	-0,7	2,48
43,9	-0,4	2,66
44,0	0,0	2,80
44,1		2,87
