t / s	v / rad/s	U_B1 / V
0,0		2,08
0,1	0,5	1,93
0,2	0,1	1,85
0,3	-0,4	1,82
0,4	-0,7	1,85
0,5	-1,0	1,96
0,6	-1,2	2,11
0,7	-1,2	2,29
0,8	-1,1	2,49
0,9	-0,8	2,66
1,0	-0,5	2,80
1,1	0,0	2,88
1,2	0,5	2,89
1,3	0,8	2,83
1,4	1,1	2,70
1,5	1,2	2,53
1,6	1,2	2,34
1,7	1,0	2,15
1,8	0,7	1,99
1,9	0,3	1,88
2,0	-0,1	1,82
2,1	-0,6	1,84
2,2	-1,0	1,91
2,3	-1,2	2,04
2,4	-1,2	2,22
2,5	-1,1	2,41
2,6	-0,9	2,60
2,7	-0,6	2,75
2,8	-0,2	2,86
2,9	0,3	2,90
3,0	0,8	2,86
3,1	1,0	2,76
3,2	1,2	2,60
3,3	1,3	2,42
3,4	1,1	2,22
3,5	0,9	2,05
3,6	0,4	1,91
3,7	0,1	1,83
3,8	-0,4	1,83
3,9	-0,9	1,87
4,0	-1,1	1,99
4,1	-1,3	2,15
4,2	-1,2	2,34
4,3	-1,0	2,53
4,4	-0,7	2,70
4,5	-0,4	2,82
4,6	0,1	2,89
4,7	0,5	2,88
4,8	0,9	2,81
4,9	1,2	2,67
5,0	1,3	2,50
5,1	1,2	2,30
5,2	1,0	2,11
5,3	0,7	1,95
5,4	0,2	1,86
5,5	-0,2	1,82
5,6	-0,6	1,84
5,7	-1,0	1,94
5,8	-1,2	2,08
5,9	-1,3	2,26
6,0	-1,2	2,46
6,1	-0,9	2,63
6,2	-0,6	2,78
6,3	-0,1	2,87
6,4	0,3	2,89
6,5	0,7	2,84
6,6	1,1	2,72
6,7	1,3	2,56
6,8	1,3	2,37
6,9	1,1	2,18
7,0	0,9	2,01
7,1	0,4	1,89
7,2	-0,1	1,82
7,3	-0,4	1,83
7,4	-0,9	1,90
7,5	-1,2	2,02
7,6	-1,2	2,20
7,7	-1,2	2,39
7,8	-1,1	2,58
7,9	-0,8	2,73
8,0	-0,3	2,84
8,1	0,2	2,89
8,2	0,6	2,87
8,3	1,0	2,77
8,4	1,2	2,63
8,5	1,2	2,44
8,6	1,2	2,24
8,7	1,0	2,07
8,8	0,6	1,92
8,9	0,2	1,84
9,0	-0,3	1,82
9,1	-0,8	1,86
9,2	-1,0	1,97
9,3	-1,2	2,13
9,4	-1,3	2,31
9,5	-1,1	2,51
9,6	-0,8	2,68
9,7	-0,4	2,81
9,8	0,0	2,88
9,9	0,4	2,88
10,0	0,8	2,81
10,1	1,1	2,68
10,2	1,2	2,51
10,3	1,2	2,31
10,4	1,0	2,13
10,5	0,7	1,97
10,6	0,4	1,86
10,7	-0,1	1,82
10,8	-0,6	1,83
10,9	-0,9	1,92
11,0	-1,1	2,07
11,1	-1,2	2,24
11,2	-1,2	2,43
11,3	-1,0	2,62
11,4	-0,6	2,77
11,5	-0,2	2,86
11,6	0,3	2,89
11,7	0,7	2,85
11,8	1,0	2,74
11,9	1,1	2,58
12,0	1,2	2,39
12,1	1,1	2,20
12,2	0,9	2,03
12,3	0,5	1,90
12,4	0,1	1,83
12,5	-0,3	1,82
12,6	-0,8	1,89
12,7	-1,1	2,00
12,8	-1,2	2,17
12,9	-1,2	2,36
13,0	-1,0	2,55
13,1	-0,7	2,72
13,2	-0,4	2,83
13,3	0,0	2,89
13,4	0,5	2,88
13,5	0,9	2,79
13,6	1,1	2,65
13,7	1,2	2,46
13,8	1,2	2,27
13,9	1,0	2,09
14,0	0,6	1,94
14,1	0,2	1,85
14,2	-0,2	1,82
14,3	-0,7	1,85
14,4	-1,0	1,95
14,5	-1,1	2,10
14,6	-1,2	2,28
14,7	-1,1	2,48
14,8	-0,9	2,65
14,9	-0,5	2,79
15,0	-0,1	2,87
15,1	0,4	2,89
15,2	0,8	2,83
15,3	1,0	2,71
15,4	1,2	2,54
15,5	1,2	2,34
15,6	1,0	2,15
15,7	0,8	1,99
15,8	0,4	1,88
15,9	0,0	1,82
16,0	-0,6	1,83
16,1	-0,8	1,91
16,2	-1,1	2,04
16,3	-1,3	2,21
16,4	-1,1	2,40
16,5	-0,9	2,58
16,6	-0,7	2,74
16,7	-0,3	2,85
16,8	0,2	2,89
16,9	0,6	2,86
17,0	0,9	2,76
17,1	1,1	2,61
17,2	1,2	2,42
17,3	1,1	2,22
17,4	0,9	2,06
17,5	0,5	1,92
17,6	0,1	1,83
17,7	-0,4	1,82
17,8	-0,8	1,87
17,9	-1,1	1,97
18,0	-1,2	2,14
18,1	-1,2	2,33
18,2	-1,0	2,52
18,3	-0,8	2,69
18,4	-0,4	2,82
18,5	0,0	2,88
18,6	0,5	2,88
18,7	0,9	2,81
18,8	1,1	2,67
18,9	1,2	2,49
19,0	1,1	2,30
19,1	1,0	2,11
19,2	0,7	1,96
19,3	0,3	1,86
19,4	-0,2	1,82
19,5	-0,7	1,84
19,6	-0,9	1,93
19,7	-1,2	2,08
19,8	-1,3	2,25
19,9	-1,1	2,45
20,0	-0,9	2,63
20,1	-0,5	2,77
20,2	-0,1	2,87
20,3	0,3	2,89
20,4	0,7	2,84
20,5	1,0	2,73
20,6	1,2	2,56
20,7	1,2	2,38
20,8	1,0	2,18
20,9	0,8	2,02
21,0	0,4	1,89
21,1	0,0	1,82
21,2	-0,5	1,83
21,3	-0,8	1,89
21,4	-1,1	2,02
21,5	-1,2	2,18
21,6	-1,2	2,37
21,7	-1,0	2,56
21,8	-0,7	2,73
21,9	-0,3	2,83
22,0	0,2	2,89
22,1	0,6	2,87
22,2	0,9	2,78
22,3	1,1	2,63
22,4	1,2	2,45
22,5	1,2	2,26
22,6	0,9	2,07
22,7	0,5	1,93
22,8	0,2	1,84
22,9	-0,3	1,82
23,0	-0,8	1,85
23,1	-1,0	1,96
23,2	-1,2	2,11
23,3	-1,2	2,30
23,4	-1,1	2,49
23,5	-0,8	2,66
23,6	-0,4	2,80
23,7	0,0	2,87
23,8	0,4	2,88
23,9	0,8	2,82
24,0	1,1	2,69
24,1	1,2	2,52
24,2	1,2	2,33
24,3	1,1	2,14
24,4	0,7	1,98
24,5	0,3	1,87
24,6	-0,1	1,82
24,7	-0,6	1,83
24,8	-0,9	1,91
24,9	-1,2	2,05
25,0	-1,3	2,22
25,1	-1,2	2,42
25,2	-1,0	2,60
25,3	-0,6	2,76
25,4	-0,1	2,85
25,5	0,3	2,88
25,6	0,7	2,86
25,7	1,0	2,75
25,8	1,2	2,59
25,9	1,3	2,40
26,0	1,1	2,22
26,1	0,8	2,04
26,2	0,5	1,91
26,3	0,0	1,83
26,4	-0,4	1,83
26,5	-0,8	1,88
26,6	-1,1	1,99
26,7	-1,2	2,15
26,8	-1,2	2,34
26,9	-1,1	2,54
27,0	-0,8	2,70
27,1	-0,3	2,82
27,2	0,1	2,88
27,3	0,5	2,87
27,4	0,9	2,80
27,5	1,1	2,65
27,6	1,2	2,48
27,7	1,2	2,28
27,8	1,0	2,09
27,9	0,7	1,95
28,0	0,3	1,86
28,1	-0,2	1,82
28,2	-0,7	1,85
28,3	-1,0	1,94
28,4	-1,1	2,09
28,5	-1,3	2,27
28,6	-1,2	2,47
28,7	-0,9	2,64
28,8	-0,6	2,78
28,9	-0,1	2,87
29,0	0,3	2,88
29,1	0,8	2,83
29,2	1,0	2,71
29,3	1,2	2,53
29,4	1,3	2,35
29,5	1,1	2,15
29,6	0,8	1,99
29,7	0,4	1,88
29,8	-0,1	1,82
29,9	-0,5	1,82
30,0	-0,9	1,91
30,1	-1,1	2,04
30,2	-1,2	2,21
30,3	-1,2	2,40
30,4	-1,0	2,59
30,5	-0,7	2,74
30,6	-0,3	2,85
30,7	0,2	2,88
30,8	0,6	2,86
30,9	1,0	2,75
31,0	1,2	2,60
31,1	1,2	2,40
31,2	1,1	2,22
31,3	0,9	2,04
31,4	0,5	1,91
31,5	0,1	1,82
31,6	-0,3	1,82
31,7	-0,7	1,87
31,8	-1,0	1,99
31,9	-1,2	2,16
32,0	-1,2	2,35
