t / s	v / rad/s	U_B1 / V
0,0		1,82
0,1	0,0	1,83
0,2	0,3	1,88
0,3	0,7	1,98
0,4	0,9	2,11
0,5	1,1	2,27
0,6	1,1	2,43
0,7	1,0	2,58
0,8	0,9	2,72
0,9	0,8	2,82
1,0	0,5	2,88
1,1	0,0	2,88
1,2	-0,3	2,84
1,3	-0,5	2,75
1,4	-0,9	2,62
1,5	-1,1	2,47
1,6	-1,1	2,30
1,7	-1,1	2,14
1,8	-1,0	2,00
1,9	-0,8	1,89
2,0	-0,5	1,83
2,1	-0,2	1,81
2,2	0,1	1,84
2,3	0,5	1,92
2,4	0,8	2,03
2,5	1,0	2,17
2,6	1,1	2,34
2,7	1,1	2,49
2,8	1,0	2,64
2,9	0,9	2,76
3,0	0,6	2,85
3,1	0,3	2,89
3,2	-0,1	2,87
3,3	-0,4	2,81
3,4	-0,7	2,70
3,5	-0,9	2,56
3,6	-1,1	2,40
3,7	-1,2	2,24
3,8	-1,1	2,08
3,9	-0,9	1,95
4,0	-0,7	1,86
4,1	-0,3	1,82
4,2	0,0	1,82
4,3	0,3	1,86
4,4	0,6	1,96
4,5	0,9	2,08
4,6	1,1	2,24
4,7	1,1	2,40
4,8	1,1	2,56
4,9	0,9	2,70
5,0	0,7	2,80
5,1	0,4	2,87
5,2	0,1	2,88
5,3	-0,2	2,86
5,4	-0,5	2,76
5,5	-0,8	2,65
5,6	-1,0	2,49
5,7	-1,1	2,33
5,8	-1,1	2,17
5,9	-1,0	2,02
6,0	-0,8	1,91
6,1	-0,6	1,84
6,2	-0,2	1,81
6,3	0,1	1,83
6,4	0,4	1,90
6,5	0,7	2,01
6,6	1,0	2,15
6,7	1,1	2,31
6,8	1,1	2,48
6,9	1,0	2,62
7,0	0,9	2,75
7,1	0,6	2,84
7,2	0,3	2,88
7,3	0,0	2,88
7,4	-0,3	2,82
7,5	-0,6	2,72
7,6	-1,0	2,58
7,7	-1,1	2,42
7,8	-1,1	2,25
7,9	-1,1	2,10
8,0	-0,9	1,97
8,1	-0,7	1,87
8,2	-0,4	1,82
8,3	-0,1	1,81
8,4	0,2	1,86
8,5	0,6	1,94
8,6	0,9	2,07
8,7	1,0	2,22
8,8	1,1	2,38
8,9	1,1	2,55
9,0	1,0	2,69
9,1	0,8	2,80
9,2	0,5	2,87
9,3	0,2	2,88
9,4	-0,1	2,86
9,5	-0,4	2,77
9,6	-0,8	2,66
9,7	-1,0	2,50
9,8	-1,1	2,34
9,9	-1,1	2,18
10,0	-1,1	2,03
10,1	-0,9	1,92
10,2	-0,6	1,84
10,3	-0,2	1,81
10,4	0,1	1,83
10,5	0,3	1,90
10,6	0,7	2,00
10,7	0,9	2,15
10,8	1,0	2,30
10,9	1,1	2,47
11,0	1,1	2,62
11,1	0,9	2,75
11,2	0,7	2,84
11,3	0,3	2,89
11,4	0,0	2,88
11,5	-0,3	2,82
11,6	-0,6	2,72
11,7	-0,9	2,58
11,8	-1,0	2,42
11,9	-1,1	2,26
12,0	-1,1	2,10
12,1	-1,0	1,97
12,2	-0,8	1,87
12,3	-0,5	1,82
12,4	-0,1	1,82
12,5	0,2	1,86
12,6	0,5	1,94
12,7	0,8	2,06
12,8	1,0	2,21
12,9	1,1	2,38
13,0	1,1	2,53
13,1	1,0	2,68
13,2	0,8	2,80
13,3	0,5	2,87
13,4	0,2	2,89
13,5	-0,1	2,86
13,6	-0,5	2,79
13,7	-0,7	2,67
13,8	-1,0	2,52
13,9	-1,1	2,35
14,0	-1,1	2,19
14,1	-1,1	2,04
14,2	-0,9	1,92
14,3	-0,6	1,85
14,4	-0,3	1,82
14,5	0,0	1,83
14,6	0,3	1,89
14,7	0,7	1,99
14,8	0,9	2,13
14,9	1,1	2,29
15,0	1,2	2,45
15,1	1,1	2,60
15,2	0,9	2,74
15,3	0,7	2,83
15,4	0,4	2,88
15,5	0,0	2,88
15,6	-0,3	2,83
15,7	-0,6	2,74
15,8	-0,8	2,60
15,9	-1,0	2,44
16,0	-1,2	2,27
16,1	-1,2	2,12
16,2	-1,0	1,98
16,3	-0,7	1,89
16,4	-0,4	1,83
16,5	-0,2	1,82
16,6	0,2	1,85
16,7	0,5	1,93
16,8	0,8	2,05
16,9	1,0	2,20
17,0	1,1	2,36
17,1	1,1	2,52
17,2	1,0	2,67
17,3	0,8	2,79
17,4	0,6	2,86
17,5	0,3	2,89
17,6	-0,1	2,87
17,7	-0,5	2,79
17,8	-0,8	2,68
17,9	-1,0	2,53
