t / s	f_1
0,0           
35,5          0,0217
35,6          0,0319
35,7          0,0361
35,8          0,0323
35,9          0,0223
36,0          0,0106
36,1          0,0022
36,2          0,0002
36,3          0,0059
36,4          0,0162
36,5          0,0272
36,6          0,0347
36,7          0,0347
36,8          0,0272
36,9          0,0158
37,0          0,0052
37,1          0,0001
37,2          0,0025
37,3          0,0118
37,4          0,0230
37,5          0,0323
37,6          0,0358
37,7          0,0301
37,8          0,0201
37,9          0,0090
38,0          0,0013
38,1          0,0005
38,2          0,0072
38,3          0,0181
38,4          0,0284
38,5          0,0345
38,6          0,0331
38,7          0,0247
38,8          0,0138
38,9          0,0040
39,0          0,0000
39,1          0,0033
39,2          0,0131
39,3          0,0251
39,4          0,0326
39,5          0,0340
39,6          0,0287
39,7          0,0185
39,8          0,0073
39,9          0,0007
40,0          0,0011
40,1          0,0082
40,2          0,0194
40,3          0,0293
40,4          0,0341
40,5          0,0318
40,6          0,0232
40,7          0,0119
40,8          0,0029
40,9          0,0001
41,0          0,0048
41,1          0,0148
41,2          0,0258
41,3          0,0333
41,4          0,0333
41,5          0,0268
41,6          0,0163
41,7          0,0058
41,8          0,0003
41,9          0,0018
42,0          0,0096
42,1          0,0207
42,2          0,0302
42,3          0,0340
42,4          0,0305
42,5          0,0212
42,6          0,0099
42,7          0,0019
42,8          0,0003
42,9          0,0058
43,0          0,0164
43,1          0,0268
43,2          0,0328
43,3          0,0322
43,4          0,0247
43,5          0,0141
43,6          0,0047
43,7          0,0001
43,8          0,0026
43,9          0,0113
44,0          0,0221
44,1          0,0306
44,2          0,0335
44,3          0,0288
44,4          0,0192
44,5          0,0084
44,6          0,0011
44,7          0,0007
44,8          0,0072
44,9          0,0174
45,0          0,0273
45,1          0,0334
45,2          0,0316
45,3          0,0226
45,4          0,0123
45,5          0,0034
45,6          0,0000
45,7          0,0035
45,8          0,0127
45,9          0,0233
46,0          0,0310
46,1          0,0329
46,2          0,0269
46,3          0,0169
46,4          0,0069
46,5          0,0006
46,6          0,0013
46,7          0,0083
46,8          0,0186
46,9          0,0280
47,0          0,0326
47,1          0,0303
47,2          0,0213
47,3          0,0101
47,4          0,0023
47,5          0,0001
47,6          0,0045
47,7          0,0136
47,8          0,0242
47,9          0,0313
48,0          0,0315
48,1          0,0257
48,2          0,0150
48,3          0,0052
48,4          0,0002
48,5          0,0020
48,6          0,0098
48,7          0,0203
48,8          0,0289
48,9          0,0317
49,0          0,0280
49,1          0,0195
49,2          0,0090
49,3          0,0016
49,4          0,0003
49,5          0,0058
49,6          0,0154
49,7          0,0249
49,8          0,0313
49,9          0,0308
50,0          0,0233
50,1          0,0131
50,2          0,0042
50,3          0,0000
50,4          0,0029
50,5          0,0112
50,6          0,0212
50,7          0,0292
50,8          0,0318
50,9          0,0264
51,0          0,0173
51,1          0,0075
51,2          0,0009
51,3          0,0008
51,4          0,0069
51,5          0,0165
51,6          0,0261
51,7          0,0310
51,8          0,0290
51,9          0,0219
52,0          0,0119
52,1          0,0029
52,2          0,0000
52,3          0,0036
52,4          0,0124
52,5          0,0228
52,6          0,0296
52,7          0,0303
52,8          0,0249
52,9          0,0155
53,0          0,0059
53,1          0,0005
53,2          0,0012
53,3          0,0083
53,4          0,0179
53,5          0,0268
53,6          0,0310
53,7          0,0280
53,8          0,0198
53,9          0,0100
54,0          0,0021
54,1          0,0001
54,2          0,0047
54,3          0,0140
54,4          0,0236
54,5          0,0295
54,6          0,0291
54,7          0,0232
54,8          0,0137
54,9          0,0047
55,0          0,0002
55,1          0,0019
55,2          0,0095
55,3          0,0191
55,4          0,0271
55,5          0,0299
55,6          0,0269
55,7          0,0182
55,8          0,0081
55,9          0,0014
56,0          0,0004
56,1          0,0058
56,2          0,0151
56,3          0,0244
56,4          0,0293
56,5          0,0281
56,6          0,0216
56,7          0,0124
56,8          0,0036
56,9          0,0000
57,0          0,0027
57,1          0,0106
57,2          0,0202
57,3          0,0273
57,4          0,0291
57,5          0,0252
57,6          0,0168
57,7          0,0069
57,8          0,0008
57,9          0,0008
58,0          0,0068
58,1          0,0165
58,2          0,0248
58,3          0,0289
58,4          0,0273
58,5          0,0199
58,6          0,0104
58,7          0,0026
58,8          0,0000
58,9          0,0036
59,0          0,0116
59,1          0,0211
59,2          0,0279
59,3          0,0287
59,4          0,0233
59,5          0,0143
59,6          0,0056
59,7          0,0004
59,8          0,0013
