t / s	v / rad/s	U_B1 / V
0,0		2,43
0,1	-0,9	2,27
0,2	-1,0	2,11
0,3	-1,0	1,98
0,4	-0,9	1,88
0,5	-0,6	1,82
0,6	-0,4	1,82
0,7	-0,2	1,86
0,8	0,1	1,93
0,9	0,4	2,06
1,0	0,6	2,21
1,1	0,9	2,37
1,2	1,0	2,53
1,3	0,9	2,68
1,4	0,9	2,79
1,5	0,7	2,86
1,6	0,6	2,89
1,7	0,2	2,86
1,8	-0,1	2,79
1,9	-0,3	2,67
2,0	-0,6	2,52
2,1	-0,8	2,36
2,2	-1,0	2,19
2,3	-1,0	2,04
2,4	-0,9	1,93
2,5	-0,7	1,85
2,6	-0,6	1,81
2,7	-0,4	1,82
2,8	-0,1	1,88
2,9	0,2	1,98
3,0	0,6	2,13
3,1	0,8	2,27
3,2	0,9	2,45
3,3	1,0	2,60
3,4	0,9	2,73
3,5	0,8	2,83
3,6	0,7	2,88
3,7	0,4	2,88
3,8	0,1	2,84
3,9	-0,2	2,74
4,0	-0,5	2,61
4,1	-0,7	2,45
4,2	-0,9	2,29
4,3	-0,9	2,13
4,4	-1,0	1,99
4,5	-0,9	1,89
4,6	-0,7	1,83
4,7	-0,5	1,81
4,8	-0,2	1,85
4,9	0,1	1,92
5,0	0,4	2,04
5,1	0,7	2,19
5,2	0,8	2,35
5,3	0,9	2,51
5,4	1,0	2,66
5,5	0,9	2,78
5,6	0,7	2,85
5,7	0,6	2,89
5,8	0,3	2,87
5,9	0,0	2,80
6,0	-0,3	2,69
6,1	-0,6	2,55
6,2	-0,8	2,38
6,3	-0,9	2,22
6,4	-1,0	2,07
6,5	-0,9	1,95
6,6	-0,8	1,86
6,7	-0,6	1,82
6,8	-0,4	1,82
6,9	-0,1	1,88
7,0	0,3	1,97
7,1	0,5	2,10
7,2	0,7	2,26
7,3	0,9	2,41
7,4	1,0	2,57
7,5	1,0	2,71
7,6	0,8	2,82
7,7	0,6	2,88
7,8	0,5	2,89
7,9	0,2	2,85
8,0	-0,1	2,77
8,1	-0,4	2,64
8,2	-0,7	2,49
8,3	-0,9	2,32
8,4	-0,9	2,16
8,5	-0,9	2,02
8,6	-0,9	1,91
8,7	-0,7	1,84
8,8	-0,5	1,82
8,9	-0,2	1,84
9,0	0,1	1,90
9,1	0,4	2,01
9,2	0,6	2,15
9,3	0,8	2,31
9,4	0,9	2,48
