t / s	v / rad/s	U_B1 / V
0,0		2,17
0,1	-0,3	2,05
0,2	-0,3	1,95
0,3	-0,2	1,87
0,4	-0,2	1,83
0,5	-0,1	1,82
0,6	0,0	1,83
0,7	0,0	1,89
0,8	0,2	1,97
0,9	0,3	2,07
1,0	0,3	2,20
1,1	0,3	2,33
1,2	0,4	2,47
1,3	0,4	2,60
1,4	0,3	2,71
1,5	0,3	2,80
1,6	0,2	2,86
1,7	0,1	2,88
1,8	0,0	2,88
1,9	0,0	2,84
2,0	-0,2	2,77
2,1	-0,2	2,67
2,2	-0,3	2,55
2,3	-0,3	2,41
2,4	-0,4	2,28
2,5	-0,3	2,15
2,6	-0,3	2,03
2,7	-0,3	1,93
2,8	-0,2	1,86
2,9	-0,1	1,82
3,0	-0,1	1,82
3,1	0,0	1,84
3,2	0,1	1,90
3,3	0,2	1,98
3,4	0,2	2,09
3,5	0,3	2,22
3,6	0,4	2,35
3,7	0,3	2,49
3,8	0,3	2,61
3,9	0,4	2,72
4,0	0,2	2,81
4,1	0,2	2,87
4,2	0,1	2,89
4,3	0,0	2,88
4,4	-0,1	2,83
4,5	-0,1	2,76
4,6	-0,2	2,65
4,7	-0,3	2,53
4,8	-0,3	2,40
4,9	-0,3	2,26
5,0	-0,3	2,13
5,1	-0,3	2,02
5,2	-0,3	1,92
5,3	-0,2	1,86
5,4	-0,1	1,82
5,5	0,0	1,82
5,6	0,0	1,85
5,7	0,1	1,91
5,8	0,2	2,00
5,9	0,3	2,11
6,0	0,3	2,24
6,1	0,3	2,37
6,2	0,4	2,51
6,3	0,3	2,63
6,4	0,3	2,74
6,5	0,2	2,82
6,6	0,2	2,87
6,7	0,1	2,88
6,8	0,0	2,87
6,9	-0,1	2,82
7,0	-0,2	2,74
7,1	-0,2	2,64
7,2	-0,3	2,50
7,3	-0,3	2,37
7,4	-0,3	2,23
7,5	-0,4	2,11
7,6	-0,3	2,00
7,7	-0,3	1,91
7,8	-0,2	1,85
7,9	-0,1	1,82
8,0	0,0	1,82
8,1	0,1	1,85
8,2	0,1	1,92
8,3	0,2	2,02
8,4	0,3	2,14
8,5	0,3	2,27
8,6	0,4	2,40
8,7	0,3	2,53
8,8	0,3	2,66
8,9	0,3	2,76
9,0	0,2	2,83
9,1	0,1	2,88
9,2	0,1	2,89
9,3	0,0	2,86
9,4	-0,1	2,81
9,5	-0,2	2,71
9,6	-0,3	2,60
9,7	-0,3	2,46
9,8	-0,4	2,33
9,9	-0,4	2,19
10,0	-0,3	2,07
10,1	-0,3	1,96
10,2	-0,3	1,88
10,3	-0,1	1,83
10,4	-0,1	1,81
10,5	0,0	1,83
10,6	0,1	1,88
10,7	0,1	1,95
10,8	0,3	2,06
10,9	0,3	2,18
11,0	0,4	2,32
11,1	0,4	2,45
11,2	0,3	2,58
11,3	0,3	2,70
11,4	0,2	2,79
11,5	0,2	2,86
11,6	0,2	2,88
