t / s	&b_A1 / rad
0,0	-2,56
0,1	-2,56
0,2	-2,56
0,3	-2,56
0,4	-2,56
0,5	-2,56
0,6	-2,56
0,7	-2,56
0,8	-2,56
0,9	-2,56
1,0	-2,56
1,1	-2,56
1,2	-2,56
1,3	-2,56
1,4	-2,56
1,5	-2,56
1,6	-2,53
1,7	-2,30
1,8	-1,85
1,9	-1,25
2,0	-0,59
2,1	0,06
2,2	0,65
2,3	1,11
2,4	1,40
2,5	1,52
2,6	1,47
2,7	1,27
2,8	0,95
2,9	0,57
3,0	0,16
3,1	-0,22
3,2	-0,53
3,3	-0,77
3,4	-0,90
3,5	-0,93
3,6	-0,85
3,7	-0,69
3,8	-0,48
3,9	-0,24
4,0	0,00
4,1	0,22
4,2	0,39
4,3	0,50
4,4	0,55
4,5	0,54
4,6	0,47
4,7	0,35
4,8	0,22
4,9	0,07
5,0	-0,07
5,1	-0,18
5,2	-0,27
5,3	-0,32
5,4	-0,33
5,5	-0,30
5,6	-0,25
5,7	-0,17
5,8	-0,09
5,9	-0,01
6,0	0,07
6,1	0,13
6,2	0,17
6,3	0,19
6,4	0,19
6,5	0,16
6,6	0,12
6,7	0,07
6,8	0,03
6,9	-0,02
7,0	-0,06
7,1	-0,09
7,2	-0,10
7,3	-0,11
7,4	-0,10
7,5	-0,09
7,6	-0,06
7,7	-0,03
7,8	-0,01
7,9	0,02
8,0	0,04
8,1	0,05
8,2	0,06
8,3	0,06
8,4	0,05
8,5	0,04
8,6	0,03
8,7	0,01
8,8	-0,01
8,9	-0,02
9,0	-0,03
9,1	-0,03
9,2	-0,03
9,3	-0,03
9,4	-0,03
9,5	-0,02
9,6	-0,01
9,7	-0,01
9,8	0,00
9,9	0,01
10,0	0,01
10,1	0,02
10,2	0,02
10,3	0,02
10,4	0,01
10,5	0,01
10,6	0,00
10,7	0,00
10,8	-0,01
10,9	-0,01
11,0	-0,01
11,1	-0,01
11,2	-0,01
11,3	-0,01
11,4	-0,01
11,5	-0,01
11,6	-0,01
11,7	0,00
11,8	0,00
11,9	0,00
12,0	0,00
12,1	0,00
12,2	0,00
12,3	0,00
12,4	0,00
12,5	0,00
12,6	0,00
12,7	0,00
12,8	0,00
12,9	0,00
13,0	0,00
13,1	0,00
13,2	0,00
