f2 / Hz	&j_2 / °
50	78,7
192	-79,1
322	-80,5
440	-80,8
548	-79,6
646	-78,5
736	-77,0
818	-75,1
892	-73,0
960	-70,6
1022	-67,8
1079	-65,0
1131	-61,5
1178	-58,0
1221	-53,9
1260	-49,8
1295	-45,1
1328	-40,6
1358	-35,8
1385	-30,8
1410	-26,3
1432	-21,6
1453	-17,3
1471	-13,2
1488	-9,8
1504	-6,2
1520	-3,2
1537	3,2
1555	6,0
1576	10,3
1598	14,7
1623	19,1
1650	24,0
1680	28,4
1713	33,0
1748	37,4
1787	41,4
1830	45,4
1877	48,8
1929	52,0
1986	55,0
2048	57,6
2116	59,7
2190	61,9
2272	63,9
2362	65,6
2460	66,9
2568	68,0
2686	69,0
2816	69,9
2958	70,5
