t / s	&b_A1 / rad
0,0	0,03
0,1	0,02
0,2	0,02
0,3	0,01
0,4	0,01
0,5	0,02
0,6	0,01
0,7	0,00
0,8	0,01
0,9	0,01
1,0	0,00
1,1	0,01
1,2	0,05
1,3	0,11
1,4	0,19
1,5	0,29
1,6	0,39
1,7	0,47
1,8	0,54
1,9	0,59
2,0	0,59
2,1	0,57
2,2	0,52
2,3	0,45
2,4	0,36
2,5	0,27
2,6	0,18
2,7	0,11
2,8	0,05
2,9	0,03
3,0	0,03
3,1	0,07
3,2	0,13
3,3	0,21
3,4	0,30
3,5	0,39
3,6	0,47
3,7	0,53
3,8	0,56
3,9	0,57
4,0	0,55
4,1	0,51
4,2	0,43
4,3	0,35
4,4	0,27
4,5	0,18
4,6	0,11
4,7	0,07
4,8	0,04
4,9	0,05
5,0	0,09
5,1	0,15
5,2	0,22
5,3	0,31
5,4	0,39
5,5	0,46
5,6	0,51
5,7	0,55
5,8	0,55
5,9	0,53
6,0	0,49
6,1	0,43
6,2	0,35
6,3	0,26
6,4	0,19
6,5	0,12
6,6	0,08
6,7	0,06
6,8	0,07
6,9	0,11
7,0	0,16
7,1	0,23
7,2	0,31
7,3	0,39
7,4	0,45
7,5	0,51
7,6	0,53
7,7	0,54
7,8	0,52
7,9	0,47
8,0	0,41
8,1	0,34
8,2	0,27
8,3	0,19
8,4	0,13
8,5	0,09
8,6	0,07
8,7	0,08
8,8	0,11
8,9	0,17
9,0	0,23
9,1	0,31
9,2	0,38
9,3	0,44
9,4	0,49
9,5	0,51
9,6	0,52
9,7	0,51
9,8	0,46
9,9	0,40
10,0	0,34
10,1	0,27
10,2	0,19
10,3	0,15
10,4	0,11
10,5	0,09
10,6	0,10
10,7	0,13
10,8	0,18
10,9	0,24
11,0	0,31
11,1	0,38
11,2	0,43
11,3	0,48
11,4	0,51
11,5	0,51
11,6	0,49
11,7	0,45
11,8	0,39
11,9	0,33
12,0	0,27
12,1	0,20
12,2	0,15
12,3	0,12
12,4	0,11
12,5	0,11
12,6	0,15
12,7	0,19
12,8	0,25
12,9	0,31
13,0	0,37
13,1	0,43
13,2	0,47
13,3	0,49
13,4	0,49
13,5	0,47
13,6	0,44
13,7	0,39
13,8	0,33
13,9	0,27
14,0	0,21
14,1	0,16
14,2	0,13
14,3	0,12
14,4	0,13
14,5	0,15
14,6	0,20
14,7	0,25
14,8	0,31
14,9	0,37
15,0	0,42
15,1	0,46
15,2	0,47
15,3	0,47
15,4	0,46
15,5	0,43
15,6	0,38
15,7	0,32
15,8	0,27
15,9	0,21
16,0	0,17
16,1	0,15
16,2	0,14
16,3	0,15
16,4	0,17
16,5	0,21
16,6	0,26
16,7	0,31
16,8	0,37
16,9	0,41
17,0	0,44
17,1	0,46
17,2	0,47
17,3	0,44
17,4	0,41
17,5	0,37
17,6	0,32
17,7	0,27
17,8	0,22
17,9	0,18
18,0	0,15
18,1	0,15
18,2	0,15
18,3	0,19
18,4	0,22
18,5	0,27
18,6	0,32
18,7	0,37
18,8	0,41
18,9	0,43
19,0	0,45
19,1	0,45
19,2	0,43
19,3	0,40
19,4	0,36
19,5	0,31
19,6	0,27
19,7	0,22
19,8	0,19
19,9	0,17
20,0	0,16
20,1	0,17
20,2	0,19
20,3	0,23
20,4	0,27
20,5	0,32
20,6	0,36
20,7	0,40
20,8	0,43
20,9	0,44
21,0	0,43
21,1	0,42
21,2	0,39
21,3	0,35
21,4	0,31
21,5	0,27
21,6	0,23
21,7	0,19
21,8	0,18
21,9	0,17
22,0	0,19
22,1	0,21
22,2	0,24
22,3	0,28
22,4	0,32
22,5	0,36
22,6	0,39
22,7	0,42
22,8	0,43
22,9	0,43
23,0	0,40
23,1	0,38
23,2	0,34
23,3	0,30
23,4	0,27
23,5	0,23
23,6	0,20
23,7	0,19
23,8	0,19
23,9	0,19
24,0	0,22
24,1	0,25
24,2	0,29
24,3	0,32
24,4	0,36
24,5	0,39
24,6	0,41
24,7	0,42
24,8	0,41
24,9	0,39
25,0	0,37
25,1	0,34
25,2	0,30
25,3	0,27
25,4	0,23
25,5	0,21
25,6	0,19
25,7	0,19
25,8	0,20
25,9	0,23
26,0	0,26
26,1	0,29
26,2	0,32
26,3	0,35
26,4	0,39
26,5	0,40
26,6	0,41
26,7	0,40
26,8	0,39
26,9	0,36
27,0	0,33
27,1	0,30
27,2	0,27
27,3	0,23
27,4	0,22
27,5	0,20
27,6	0,20
27,7	0,21
27,8	0,23
27,9	0,26
28,0	0,29
28,1	0,32
28,2	0,35
28,3	0,38
28,4	0,39
28,5	0,39
28,6	0,39
28,7	0,38
28,8	0,35
28,9	0,33
29,0	0,30
29,1	0,27
29,2	0,24
29,3	0,23
29,4	0,21
29,5	0,21
29,6	0,22
29,7	0,24
29,8	0,27
29,9	0,29
30,0	0,32
30,1	0,35
30,2	0,37
30,3	0,39
30,4	0,39
30,5	0,39
30,6	0,37
30,7	0,35
30,8	0,32
30,9	0,30
31,0	0,27
31,1	0,25
31,2	0,23
31,3	0,23
31,4	0,22
31,5	0,23
31,6	0,25
31,7	0,27
31,8	0,30
31,9	0,32
32,0	0,35
32,1	0,36
32,2	0,38
32,3	0,38
32,4	0,38
32,5	0,36
32,6	0,35
32,7	0,32
32,8	0,30
32,9	0,27
33,0	0,25
33,1	0,24
33,2	0,23
33,3	0,23
33,4	0,23
33,5	0,25
33,6	0,27
33,7	0,30
33,8	0,32
33,9	0,34
34,0	0,35
34,1	0,37
34,2	0,37
34,3	0,37
34,4	0,35
34,5	0,34
34,6	0,32
34,7	0,30
34,8	0,27
34,9	0,26
35,0	0,24
35,1	0,24
35,2	0,23
35,3	0,24
35,4	0,26
35,5	0,27
35,6	0,30
35,7	0,32
35,8	0,34
35,9	0,35
36,0	0,36
36,1	0,36
36,2	0,36
36,3	0,35
36,4	0,33
36,5	0,31
36,6	0,30
36,7	0,27
36,8	0,26
36,9	0,25
37,0	0,24
37,1	0,25
37,2	0,25
37,3	0,27
37,4	0,28
37,5	0,30
37,6	0,32
37,7	0,34
37,8	0,35
37,9	0,35
38,0	0,35
38,1	0,35
38,2	0,35
38,3	0,33
38,4	0,31
38,5	0,30
38,6	0,28
38,7	0,27
38,8	0,26
38,9	0,25
39,0	0,25
39,1	0,26
39,2	0,27
39,3	0,29
39,4	0,30
39,5	0,31
39,6	0,33
39,7	0,34
39,8	0,35
39,9	0,35
40,0	0,35
40,1	0,34
40,2	0,32
40,3	0,31
40,4	0,30
40,5	0,28
40,6	0,27
40,7	0,27
40,8	0,26
40,9	0,26
41,0	0,27
41,1	0,27
41,2	0,29
41,3	0,31
41,4	0,31
41,5	0,33
41,6	0,34
41,7	0,34
41,8	0,34
41,9	0,34
42,0	0,33
42,1	0,32
42,2	0,31
42,3	0,29
42,4	0,28
42,5	0,27
42,6	0,27
42,7	0,27
42,8	0,27
42,9	0,27
43,0	0,28
43,1	0,29
43,2	0,31
43,3	0,31
43,4	0,32
43,5	0,33
43,6	0,34
43,7	0,34
43,8	0,33
43,9	0,32
44,0	0,31
44,1	0,31
44,2	0,30
44,3	0,28
44,4	0,28
44,5	0,27
44,6	0,27
44,7	0,27
44,8	0,28
44,9	0,29
45,0	0,30
45,1	0,31
45,2	0,31
45,3	0,32
45,4	0,33
45,5	0,33
45,6	0,33
45,7	0,32
45,8	0,32
45,9	0,31
46,0	0,31
46,1	0,30
46,2	0,29
46,3	0,28
46,4	0,28
46,5	0,28
46,6	0,28
46,7	0,29
46,8	0,29
46,9	0,30
47,0	0,31
47,1	0,31
47,2	0,31
47,3	0,32
47,4	0,32
47,5	0,32
47,6	0,32
47,7	0,31
47,8	0,31
47,9	0,30
48,0	0,30
48,1	0,29
48,2	0,29
48,3	0,29
48,4	0,29
48,5	0,29
48,6	0,29
48,7	0,30
48,8	0,30
48,9	0,31
49,0	0,31
49,1	0,31
49,2	0,31
49,3	0,31
49,4	0,31
49,5	0,31
49,6	0,31
49,7	0,31
49,8	0,30
49,9	0,30
50,0	0,30
50,1	0,29
50,2	0,29
50,3	0,29
50,4	0,29
50,5	0,30
50,6	0,30
50,7	0,30
50,8	0,31
50,9	0,31
51,0	0,31
51,1	0,31
51,2	0,31
51,3	0,31
51,4	0,31
51,5	0,31
51,6	0,31
51,7	0,30
51,8	0,30
51,9	0,30
52,0	0,30
52,1	0,30
52,2	0,30
52,3	0,30
52,4	0,30
52,5	0,30
52,6	0,30
52,7	0,31
52,8	0,31
52,9	0,31
53,0	0,31
53,1	0,31
53,2	0,31
53,3	0,31
53,4	0,31
53,5	0,31
53,6	0,31
53,7	0,31
53,8	0,30
53,9	0,30
54,0	0,30
54,1	0,30
54,2	0,30
54,3	0,30
54,4	0,30
54,5	0,30
54,6	0,30
54,7	0,30
54,8	0,30
54,9	0,30
55,0	0,30
55,1	0,30
55,2	0,30
55,3	0,30
55,4	0,30
55,5	0,30
55,6	0,30
55,7	0,30
55,8	0,30
55,9	0,30
56,0	0,30
56,1	0,30
56,2	0,30
56,3	0,30
56,4	0,30
56,5	0,30
56,6	0,30
56,7	0,30
56,8	0,30
