t / s	&b_A1 / rad
0,0	-2,57
0,1	-2,57
0,2	-2,57
0,3	-2,57
0,4	-2,57
0,5	-2,57
0,6	-2,57
0,7	-2,57
0,8	-2,58
0,9	-2,57
1,0	-2,57
1,1	-2,57
1,2	-2,38
1,3	-1,94
1,4	-1,31
1,5	-0,55
1,6	0,23
1,7	0,96
1,8	1,56
1,9	1,98
2,0	2,15
2,1	2,10
2,2	1,81
2,3	1,33
2,4	0,72
2,5	0,07
2,6	-0,60
2,7	-1,16
2,8	-1,58
2,9	-1,81
3,0	-1,85
3,1	-1,69
3,2	-1,35
3,3	-0,88
3,4	-0,33
3,5	0,24
3,6	0,75
3,7	1,18
3,8	1,46
3,9	1,56
4,0	1,50
4,1	1,27
4,2	0,91
4,3	0,47
4,4	-0,01
4,5	-0,48
4,6	-0,87
4,7	-1,17
4,8	-1,32
4,9	-1,33
5,0	-1,19
5,1	-0,94
5,2	-0,58
5,3	-0,18
5,4	0,23
5,5	0,59
5,6	0,88
5,7	1,07
5,8	1,13
5,9	1,07
6,0	0,90
6,1	0,63
6,2	0,30
6,3	-0,05
6,4	-0,38
6,5	-0,65
6,6	-0,85
6,7	-0,96
6,8	-0,95
6,9	-0,84
7,0	-0,65
7,1	-0,38
7,2	-0,09
7,3	0,19
7,4	0,45
7,5	0,66
7,6	0,78
7,7	0,81
7,8	0,75
7,9	0,63
8,0	0,43
8,1	0,19
8,2	-0,06
8,3	-0,30
8,4	-0,49
8,5	-0,62
8,6	-0,69
8,7	-0,67
8,8	-0,59
8,9	-0,44
9,0	-0,25
9,1	-0,04
9,2	0,17
9,3	0,35
9,4	0,48
9,5	0,56
9,6	0,58
9,7	0,53
9,8	0,43
9,9	0,28
10,0	0,11
10,1	-0,07
10,2	-0,23
10,3	-0,37
10,4	-0,45
10,5	-0,49
10,6	-0,47
10,7	-0,41
10,8	-0,29
10,9	-0,16
11,0	-0,01
11,1	0,14
11,2	0,26
11,3	0,35
11,4	0,40
11,5	0,41
11,6	0,37
11,7	0,29
11,8	0,18
11,9	0,06
12,0	-0,07
12,1	-0,18
12,2	-0,27
12,3	-0,33
12,4	-0,34
12,5	-0,33
12,6	-0,28
12,7	-0,19
12,8	-0,09
12,9	0,01
13,0	0,11
13,1	0,19
13,2	0,25
13,3	0,28
13,4	0,28
13,5	0,25
13,6	0,19
13,7	0,11
13,8	0,03
13,9	-0,06
14,0	-0,13
14,1	-0,19
14,2	-0,23
14,3	-0,24
14,4	-0,22
14,5	-0,18
14,6	-0,13
14,7	-0,05
14,8	0,02
14,9	0,08
15,0	0,14
15,1	0,18
15,2	0,19
15,3	0,19
15,4	0,17
15,5	0,12
15,6	0,07
15,7	0,01
15,8	-0,05
15,9	-0,10
16,0	-0,14
16,1	-0,16
16,2	-0,17
16,3	-0,15
16,4	-0,12
16,5	-0,08
16,6	-0,03
16,7	0,03
16,8	0,07
16,9	0,11
17,0	0,13
17,1	0,14
17,2	0,13
17,3	0,11
17,4	0,07
17,5	0,04
17,6	-0,01
17,7	-0,05
17,8	-0,08
17,9	-0,10
18,0	-0,11
18,1	-0,11
18,2	-0,10
18,3	-0,08
18,4	-0,05
18,5	-0,01
18,6	0,02
18,7	0,05
18,8	0,07
18,9	0,09
19,0	0,09
19,1	0,09
19,2	0,07
19,3	0,05
19,4	0,02
19,5	-0,01
19,6	-0,03
19,7	-0,05
19,8	-0,07
19,9	-0,08
20,0	-0,08
20,1	-0,07
20,2	-0,05
20,3	-0,03
20,4	-0,01
20,5	0,02
20,6	0,03
20,7	0,05
20,8	0,06
20,9	0,06
21,0	0,06
21,1	0,05
21,2	0,03
21,3	0,01
21,4	-0,01
21,5	-0,02
21,6	-0,04
21,7	-0,05
21,8	-0,05
21,9	-0,05
22,0	-0,05
22,1	-0,03
22,2	-0,02
22,3	-0,01
22,4	0,01
22,5	0,03
22,6	0,03
22,7	0,04
22,8	0,04
22,9	0,03
23,0	0,03
23,1	0,02
23,2	0,01
23,3	-0,01
23,4	-0,01
23,5	-0,03
23,6	-0,03
23,7	-0,03
23,8	-0,03
23,9	-0,03
24,0	-0,02
24,1	-0,01
24,2	0,00
24,3	0,01
24,4	0,02
24,5	0,02
24,6	0,03
24,7	0,03
24,8	0,03
24,9	0,02
25,0	0,01
25,1	0,00
25,2	-0,01
25,3	-0,01
25,4	-0,01
25,5	-0,02
25,6	-0,02
25,7	-0,02
25,8	-0,01
25,9	-0,01
26,0	-0,01
26,1	0,00
26,2	0,01
26,3	0,01
26,4	0,01
26,5	0,01
26,6	0,01
26,7	0,01
26,8	0,01
26,9	0,00
27,0	0,00
27,1	-0,01
27,2	-0,01
27,3	-0,01
27,4	-0,01
27,5	-0,01
27,6	-0,01
27,7	-0,01
27,8	-0,01
27,9	-0,01
28,0	0,00
28,1	0,00
28,2	0,00
28,3	0,01
28,4	0,01
28,5	0,01
28,6	0,01
28,7	0,00
28,8	0,00
28,9	0,00
29,0	0,00
29,1	-0,01
29,2	-0,01
29,3	-0,01
29,4	-0,01
29,5	-0,01
29,6	-0,01
29,7	-0,01
29,8	0,00
29,9	0,00
30,0	0,00
30,1	0,00
30,2	0,00
30,3	0,00
30,4	0,00
30,5	0,00
30,6	0,00
30,7	0,00
30,8	0,00
30,9	0,00
31,0	0,00
31,1	0,00
31,2	0,00
31,3	0,00
