t / s	v / rad/s	U_B1 / V
0,0		2,44
0,1	0,3	2,22
0,2	0,3	2,01
0,3	0,2	1,88
0,4	-0,1	1,82
0,5	-0,2	1,84
0,6	-0,4	1,96
0,7	-0,4	2,14
0,8	-0,4	2,36
0,9	-0,4	2,57
1,0	-0,2	2,75
1,1	0,0	2,86
1,2	0,1	2,88
1,3	0,3	2,82
1,4	0,4	2,66
1,5	0,4	2,45
1,6	0,4	2,22
1,7	0,3	2,02
1,8	0,2	1,88
1,9	-0,1	1,81
2,0	-0,2	1,84
2,1	-0,3	1,95
2,2	-0,4	2,13
2,3	-0,4	2,35
2,4	-0,4	2,57
2,5	-0,2	2,75
2,6	-0,1	2,86
2,7	0,1	2,88
2,8	0,3	2,82
2,9	0,4	2,67
3,0	0,5	2,45
3,1	0,4	2,23
3,2	0,3	2,03
3,3	0,1	1,89
3,4	-0,1	1,82
3,5	-0,2	1,84
3,6	-0,3	1,94
3,7	-0,5	2,12
3,8	-0,5	2,34
3,9	-0,3	2,56
4,0	-0,2	2,74
4,1	0,0	2,86
4,2	0,1	2,88
4,3	0,3	2,82
4,4	0,4	2,67
4,5	0,4	2,47
4,6	0,4	2,25
4,7	0,3	2,04
4,8	0,1	1,89
4,9	-0,1	1,82
5,0	-0,2	1,83
5,1	-0,3	1,94
5,2	-0,5	2,11
5,3	-0,5	2,32
5,4	-0,3	2,55
5,5	-0,2	2,74
5,6	-0,1	2,86
5,7	0,1	2,89
5,8	0,3	2,83
5,9	0,4	2,67
6,0	0,4	2,47
6,1	0,4	2,24
6,2	0,3	2,04
6,3	0,2	1,89
6,4	0,0	1,82
6,5	-0,2	1,83
6,6	-0,3	1,94
6,7	-0,5	2,11
6,8	-0,5	2,32
6,9	-0,3	2,54
7,0	-0,2	2,73
7,1	-0,1	2,85
7,2	0,1	2,88
7,3	0,3	2,83
7,4	0,4	2,68
7,5	0,4	2,47
7,6	0,4	2,24
7,7	0,3	2,04
7,8	0,2	1,89
7,9	0,0	1,82
8,0	-0,2	1,83
8,1	-0,4	1,93
8,2	-0,5	2,10
8,3	-0,4	2,32
8,4	-0,3	2,55
8,5	-0,2	2,73
8,6	-0,1	2,85
8,7	0,1	2,88
8,8	0,3	2,83
8,9	0,4	2,68
9,0	0,4	2,47
9,1	0,4	2,25
9,2	0,3	2,05
9,3	0,1	1,89
9,4	0,0	1,82
9,5	-0,2	1,83
9,6	-0,3	1,93
9,7	-0,4	2,10
9,8	-0,5	2,31
9,9	-0,3	2,53
10,0	-0,2	2,73
10,1	-0,1	2,85
10,2	0,1	2,89
10,3	0,3	2,83
10,4	0,4	2,70
10,5	0,4	2,49
10,6	0,4	2,26
10,7	0,3	2,06
10,8	0,1	1,90
10,9	0,0	1,82
11,0	-0,2	1,83
11,1	-0,4	1,93
11,2	-0,4	2,09
11,3	-0,4	2,30
11,4	-0,3	2,53
11,5	-0,3	2,71
11,6	-0,1	2,85
11,7	0,1	2,88
11,8	0,3	2,84
11,9	0,4	2,70
12,0	0,4	2,50
12,1	0,4	2,28
12,2	0,3	2,07
12,3	0,1	1,91
12,4	-0,1	1,82
12,5	-0,2	1,83
12,6	-0,3	1,92
12,7	-0,5	2,08
12,8	-0,4	2,29
12,9	-0,3	2,51
13,0	-0,3	2,70
13,1	-0,1	2,84
13,2	0,1	2,89
13,3	0,2	2,84
13,4	0,4	2,71
13,5	0,4	2,51
13,6	0,4	2,28
13,7	0,3	2,08
13,8	0,1	1,91
13,9	0,0	1,83
14,0	-0,1	1,83
14,1	-0,3	1,91
14,2	-0,4	2,07
14,3	-0,4	2,28
14,4	-0,4	2,50
14,5	-0,3	2,70
14,6	-0,1	2,84
14,7	0,1	2,89
14,8	0,3	2,85
14,9	0,3	2,72
15,0	0,4	2,52
15,1	0,4	2,30
15,2	0,3	2,09
15,3	0,2	1,92
15,4		1,83
