t / s	v / rad/s	U_B1 / V
0,0		1,90
0,1	0,2	1,99
0,2	0,3	2,10
0,3	0,4	2,22
0,4	0,4	2,36
0,5	0,3	2,49
0,6	0,3	2,61
0,7	0,3	2,73
0,8	0,2	2,80
0,9	0,1	2,86
1,0	0,1	2,89
1,1	0,0	2,89
1,2	-0,2	2,84
1,3	-0,3	2,76
1,4	-0,2	2,66
1,5	-0,3	2,54
1,6	-0,3	2,41
1,7	-0,3	2,27
1,8	-0,4	2,14
1,9	-0,3	2,02
2,0	-0,2	1,93
2,1	-0,2	1,87
2,2	-0,1	1,82
2,3	0,0	1,82
2,4	0,1	1,85
2,5	0,2	1,90
2,6	0,2	1,99
2,7	0,3	2,10
2,8	0,4	2,22
2,9	0,4	2,36
3,0	0,3	2,49
3,1	0,3	2,62
3,2	0,2	2,73
3,3	0,2	2,81
3,4	0,1	2,87
3,5	0,0	2,89
3,6	0,0	2,88
3,7	-0,1	2,84
3,8	-0,2	2,76
3,9	-0,2	2,66
4,0	-0,3	2,54
4,1	-0,4	2,41
4,2	-0,4	2,27
4,3	-0,3	2,14
4,4	-0,3	2,02
4,5	-0,3	1,93
4,6	-0,2	1,86
4,7	-0,1	1,82
4,8	0,0	1,82
4,9	0,0	1,84
5,0	0,2	1,90
5,1	0,2	1,99
5,2	0,3	2,10
5,3	0,4	2,22
5,4	0,4	2,35
5,5	0,3	2,49
5,6	0,3	2,62
5,7	0,3	2,72
5,8	0,2	2,81
5,9	0,1	2,87
6,0	0,1	2,89
6,1	0,0	2,88
6,2	-0,1	2,84
6,3	-0,2	2,76
6,4	-0,2	2,65
6,5	-0,3	2,53
6,6	-0,4	2,39
6,7	-0,4	2,26
6,8	-0,3	2,14
6,9	-0,3	2,02
7,0	-0,3	1,92
7,1	-0,1	1,86
7,2	-0,1	1,83
7,3	0,0	1,82
7,4	0,1	1,85
7,5	0,1	1,91
7,6	0,2	1,99
7,7	0,3	2,10
7,8	0,4	2,23
7,9	0,4	2,37
8,0	0,4	2,51
8,1	0,3	2,62
8,2	0,3	2,73
8,3	0,2	2,82
8,4	0,2	2,87
8,5	0,0	2,89
8,6	0,0	2,88
8,7	-0,1	2,83
8,8	-0,3	2,75
8,9	-0,3	2,64
9,0	-0,3	2,52
9,1	-0,4	2,38
9,2	-0,4	2,24
9,3	-0,3	2,12
9,4	-0,3	2,01
9,5	-0,2	1,92
9,6	-0,2	1,86
9,7	-0,1	1,82
9,8	0,1	1,82
9,9	0,1	1,85
10,0	0,2	1,92
10,1	0,3	2,00
10,2	0,3	2,12
10,3	0,4	2,24
10,4	0,3	2,38
10,5	0,4	2,52
10,6	0,3	2,64
10,7	0,2	2,74
10,8	0,2	2,82
10,9	0,2	2,87
11,0	0,0	2,89
11,1	-0,1	2,87
11,2	-0,1	2,82
11,3	-0,2	2,74
11,4	-0,3	2,63
11,5	-0,3	2,50
11,6	-0,3	2,37
11,7	-0,3	2,23
11,8	-0,4	2,11
11,9	-0,3	2,00
12,0	-0,2	1,91
12,1	-0,2	1,85
12,2	-0,1	1,82
12,3	0,0	1,82
12,4	0,1	1,85
12,5	0,2	1,92
12,6	0,3	2,01
12,7	0,3	2,12
12,8	0,3	2,26
12,9	0,4	2,39
13,0	0,3	2,52
13,1	0,3	2,64
13,2	0,3	2,75
